BI00B32DA    SBT2206        202204287287-9234                JOINT CONNECTOR          CCN000052800000057600FN00000000020220601000057600NNM   20220330131242    4N0N  00000960000000893800001184832DA    GBYIPLGB005500360039
BI00B32DA    SBT2206A       202205057287-9234                JOINT CONNECTOR          CCN000043200000048000FN00000000020220601000048000NNM   20220330131242    4N0N  00000960000000893800001184832DA    GBYIPLGB005500360039
BI00B32DA    SBT2206        202204287017-1180-02             TERMINAL                 CCN000180000000216000FN00000000020220601000216000NNM   20220330131242    4P0P  00007200000001065600001229032DA    GBYIPLGB005100280028
BI00B32DA    SBT2206A       202205057017-1180-02             TERMINAL                 CCN000180000000216000FN00000000020220601000216000NNM   20220330131242    4P0P  00007200000001065600001229032DA    GBYIPLGB005100280028
BI00B32DA    SBT2206        202204287017-1182-02             TERMINAL                 CCN000022500000045000FN00000000020220601000045000NNM   20220330131242    4P0P  00004500000001165500001318632DA    GBYIPLGB005100280028
BI00B32DA    SBT2206A       202205057017-1182-02             TERMINAL                 CCN000022500000045000FN00000000020220601000045000NNM   20220330131242    4P0P  00004500000001165500001318632DA    GBYIPLGB005100280028
BI00B32DA    SBT2206        202204287114-4624-02             TERMINAL                 CCN000036000000048000FN00000000020220601000048000NNM   20220330131242    4P0P  00002400000000895200001188832DA    GBYIPLGB006400630015
BI00B32DA    SBT2206A       202205057114-4624-02             TERMINAL                 CCN000036000000048000FN00000000020220601000048000NNM   20220330131242    4P0P  00002400000000895200001188832DA    GBYIPLGB006400630015
BI00B32DA    SBT2206        202204287114-4728-02             TERMINAL                 CCN000510000000510000FN00000000020220601000510000NNM   20220330131242    4P0P  00003000000000510000000804232DA    GBYIPLGB006400630015
BI00B32DA    SBT2206A       202205057114-4728-02             TERMINAL                 CCN000510000000510000FN00000000020220601000510000NNM   20220330131242    4P0P  00003000000000510000000804232DA    GBYIPLGB006400630015
BI00B32DA    SBT2206        202204287114-4729-02             TERMINAL                 CCN000120000000120000FN00000000020220601000120000NNM   20220330131242    4P0P  00003000000000516000000810232DA    GBYIPLGB006400630015
BI00B32DA    SBT2206A       202205057114-4729-02             TERMINAL                 CCN000120000000120000FN00000000020220601000120000NNM   20220330131242    4P0P  00003000000000516000000810232DA    GBYIPLGB006400630015
BI00B32DA    SBT2206        202204287114-5746-02             TERMINAL                 CCN000105000000105000FN00000000020220601000105000NNM   20220330131242    4P0P  00002100000000695100000988732DA    GBYIPLGB006400630015
BI00B32DA    SBT2206A       202205057114-5746-02             TERMINAL                 CCN000105000000105000FN00000000020220601000105000NNM   20220330131242    4P0P  00002100000000695100000988732DA    GBYIPLGB006400630015
BI00B32DA    SBT2206        202204287114-5747-02             TERMINAL                 CCN000090000000090000FN00000000020220601000090000NNM   20220330131242    4P0P  00001800000000626400000920032DA    GBYIPLGB006400630015
BI00B32DA    SBT2206A       202205057114-5747-02             TERMINAL                 CCN000090000000090000FN00000000020220601000090000NNM   20220330131242    4P0P  00001800000000626400000920032DA    GBYIPLGB006400630015
BI00B32DA    SBT2206        202204287114-5748-02             TERMINAL                 CCN000120000000120000FN00000000020220601000120000NNM   20220330131242    4P0P  00001200000000444000000737632DA    GBYIPLGB006400630015
BI00B32DA    SBT2206A       202205057114-5748-02             TERMINAL                 CCN000120000000120000FN00000000020220601000120000NNM   20220330131242    4P0P  00001200000000444000000737632DA    GBYIPLGB006400630015
BI00B32DA    SBT2206        202204287114-5753-02             TERMINAL                 CCN000067500000081000FN00000000020220601000081000NNM   20220330131242    4P0P  00002700000000847800001141432DA    GBYIPLGB006400630015
BI00B32DA    SBT2206A       202205057114-5753-02             TERMINAL                 CCN000067500000081000FN00000000020220601000081000NNM   20220330131242    4P0P  00002700000000847800001141432DA    GBYIPLGB006400630015
BI00B32DA    SBT2206        202204287116-1257-02             TERMINAL                 CCN000012000000024000FN00000000020220601000024000NNM   20220330131242    1P0P  00002400000000518400000847132DA    GBYIPLGB006400630017
BI00B32DA    SBT2206A       202205057116-1257-02             TERMINAL                 CCN000012000000024000FN00000000020220601000024000NNM   20220330131242    1P0P  00002400000000518400000847132DA    GBYIPLGB006400630017
BI00B32DA    SBT2206        202204287116-4231-02             TERMINAL                 CCN000026000000026000FN00000000020220601000026000NNM   20220330131242    4P0P  00002600000000683800001012532DA    GBYIPLGB006400630017
BI00B32DA    SBT2206A       202205057116-4231-02             TERMINAL                 CCN000026000000026000FN00000000020220601000026000NNM   20220330131242    4P0P  00002600000000683800001012532DA    GBYIPLGB006400630017
BI00B32DA    SBT2206        202204287116-4415-02             TERMINAL                 CCN000076000000076000FN00000000020220601000076000NNM   20220330131242    4P0P  00003800000000596600000925732DA    GBYIPLGB006400630017
