BI00B32B6    A72029         202206247116-5046-02             TERMINAL                 CCN000012000000012000FN00000000020220901000012000NNM   20220428162840B6  4P0P  00001200000000544800000873532B6    AXARNE-M006400630017
BI00B32B6    A72029         202206247158-3165-90             WIRE SEAL                CCN000320000000320000FN00000000020220901000320000NNM   20220428162840B6  1C0C  00004000000000124000000172432B6    AXARNE-M004300270014
BI00B32B6    A72029         202206247158-3166-60             WIRE SEAL                CCN000160000000160000FN00000000020220901000160000NNM   20220428162840B6  1C0C  00004000000000104000000152432B6    AXARNE-M002700430014
BI00B32B6    A72029         202206247158-3167-80             WIRE SEAL                CCN000140000000140000FN00000000020220901000140000NNM   20220428162840B6  1C0C  00002000000000048000000109032B6    AXARNE-M002700430014
BI00B32B6    A72029         202206247158-3168-80             SEALED                   CCN000020000000020000FN00000000020220901000020000NNM   20220428162840B6  1C0C  00002000000000044000000092132B6    AXARNE-M004300260014
BI00B32B6    A72029         202206247158-3169-40             SEALING PLUG             CCN000040000000040000FN00000000020220901000040000NNM   20220428162840B6  1C0C  00004000000000156000000204132B6    AXARNE-M004300260014
BI00B32B6    A72029         202206247288-3339-30             HOUSING MALE             CCN000001500000001500FN00000000020220901000001500NNM   20220428162840B6  4N0N  00000150000000867000001012032B6    AXARNE-M005400370024
BI00B32B6    A72029         202206247289-3342-30             HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220901000002400NNM   20220428162840B6  1N0N  00000240000000686400000901432B6    AXARNE-M005500360039
BI00B32B6    #A72029        202206247158-3015-10             RUBBER STOPPER           CCN000010000000010000FN00000000020220901000010000NNM   20220428162835B6  2C0C  00001000000000419500000474032B6    AXARNE-M002700430014
BI00B32B7    A82029         202206247158-3167-80             WIRE SEAL                CCN000140000000140000FN00000000020220901000140000NNM   20220428162939B7  1C0C  00002000000000048000000109032B7    AXARNE-M002700430014
BI00B32B7    A82029         202206247158-3169-40             SEALING PLUG             CCN000040000000040000FN00000000020220901000040000NNM   20220428162939B7  1C0C  00004000000000156000000204132B7    AXARNE-M004300260014
BI00B32B7    #A82029        202206247158-3376-50             CONNECTOR WIRE SEAL      CCN000060000000060000FN00000000020220901000060000NNM   20220428162934B7  2C0C  00002000000000184000000240732B7    AXARNE-M002700430014
BI00B32B7    #A82029        202206247283-8397-40             CONNECTOR                CCN000009240000009240FN00000000020220901000009240NNM   20220428162934B7  2N0N  00000154000001007000001222732B7    AXARNE-M005600390023
BI00B32CC    CTA32091       202206027283-4855                CONNECTOR HOUSING        CCN000014400000014400FN00000000020220901000014400NNE   20220428121351    4N0N  00000240000001188400001400032CC    BIYABCBU005500360039
BI00B32CC    CTA32091       202206027289-3342                HOUSING FEMALE ASS'Y     CCN000012000000012000FN00000000020220901000012000NNE   20220428121351    1N0N  00000240000000686400000901432CC    BIYABCBU005500360039
BI00B32CC    CTA32091       202206027289-3342-30             HOUSING FEMALE ASS'Y     CCN000012000000012000FN00000000020220901000012000NNE   20220428121351    1N0N  00000240000000686400000901432CC    BIYABCBU005500360039
BI00B32CC    CTA32091       202206027289-6868-30             SEALED ASSY FEMALE       CCN000005040000005040FN00000000020220901000005040NNE   20220428121351    4N0N  00000252000000839200001119232CC    BIYABCBU005500360039
BI00B32CC    #CTA32091      202206027283-8226-30             CONNECTOR                CCN000030000000030000FN00000000020220901000030000NNE   20220428121351    2N0N  00000200000000820000001008032CC    BIYABCBU005400370024
BI00B32CC    #CTA32091      202206027183-7725-40             HOUSING                  CCN000006000000006000FN00000000020220901000006000NNE   20220428121351    2F0F  00000600000000840000001040032CC    BIYABCBU005600390040
BI00B32CC    #CTA32091      202206027282-6446-40             CONNECTOR                CCN000003000000003000FN00000000020220901000003000NNE   20220428121351    2N0N  00000150000001185000001368032CC    BIYABCBU005500360039
BI00B32CC    #CTA32091      202206027282-6457-40             CONNECTOR                CCN000001600000001600FN00000000020220901000001600NNE   20220428121351    2N0N  00000080000001137000001421332CC    BIYABCBU005600390040
BI00B32CC    CTA32092       202206027158-3167-80             WIRE SEAL                CCN000060000000060000FN00000000020220901000060000NNE   20220428121351    1C0C  00002000000000048000000109032CC    BIYABCBU002700430014
