BI00B32Q8    EW22074 MW     2022061518007703930              AVSS 0.5F B              CCN000015000000015000FN00000000020220701000015000NNM   20220416203414    1W    00000150000000674000000000032Q8    EMEMI   000000000000MI126038
BI00B32Q8    EW22071 MW     2022052518007703941              AVSS 0.5F GY             CCN000003000000003000FN00000000020220701000003000NNM   20220416203414    1W    00000150000000674000000000032Q8    EMEMI   000000000000MI225010
BI00B32Q8    EW22072 MW     2022060118007703941              AVSS 0.5F GY             CCN000028500000028500FN00000000020220701000028500NNM   20220416203414    1W    00000150000000674000000000032Q8    EMEMI   000000000000MI325021
BI00B32Q8    EW22073 MW     2022060818007703941              AVSS 0.5F GY             CCN000034500000034500FN00000000020220701000034500NNM   20220416203414    1W    00000150000000674000000000032Q8    EMEMI   000000000000MI425034
BI00B32Q8    EW22074 MW     2022061518007703941              AVSS 0.5F GY             CCN000028500000028500FN00000000020220701000028500NNM   20220416203414    1W    00000150000000674000000000032Q8    EMEMI   000000000000MI126039
BI00B32Q8    EW22071 MW     2022052518007703990              AVSS 0.5F L              CCN000003000000003000FN00000000020220701000003000NNM   20220416203414    1W    00000150000000674000000000032Q8    EMEMI   000000000000MI225011
BI00B32Q8    EW22072 MW     2022060118007703990              AVSS 0.5F L              CCN000013500000013500FN00000000020220701000013500NNM   20220416203414    1W    00000150000000674000000000032Q8    EMEMI   000000000000MI325022
BI00B32Q8    EW22073 MW     2022060818007703990              AVSS 0.5F L              CCN000018000000018000FN00000000020220701000018000NNM   20220416203414    1W    00000150000000674000000000032Q8    EMEMI   000000000000MI425035
BI00B32Q8    EW22074 MW     2022061518007703990              AVSS 0.5F L              CCN000015000000015000FN00000000020220701000015000NNM   20220416203414    1W    00000150000000674000000000032Q8    EMEMI   000000000000MI126040
BI00B32Q8    EW22073 MW     2022060818007704152              AVSS 1.25F P             CCN000013600000013600FN00000000020220701000013600NNM   20220416203414    1W    00000080000001389000000000032Q8    EMEMI   000000000000MI425036
BI00B32Q8    EW22074 MW     2022061518007704152              AVSS 1.25F P             CCN000024000000024000FN00000000020220701000024000NNM   20220416203414    1W    00000080000001389000000000032Q8    EMEMI   000000000000MI126041
BI00B32Q8    EW22072 MW     20220601180D0203730              AVSSH 0.3F B             CCN000002000000002000FN00000000020220701000002000NNM   20220416203414    1W    00000200000000515000000000032Q8    EMEMI   000000000000MI325007
BI00B32Q8    EW22073 MW     20220608180D0203730              AVSSH 0.3F B             CCN000006000000006000FN00000000020220701000006000NNM   20220416203414    1W    00000200000000515000000000032Q8    EMEMI   000000000000MI425011
BI00B32Q8    EW22074 MW     20220615180D0203730              AVSSH 0.3F B             CCN000004000000004000FN00000000020220701000004000NNM   20220416203414    1W    00000200000000515000000000032Q8    EMEMI   000000000000MI126012
BI00B32Q8    EW22072 MW     20220601180D0203790              AVSSH 0.3F L             CCN000002000000002000FN00000000020220701000002000NNM   20220416203414    1W    00000200000000515000000000032Q8    EMEMI   000000000000MI325008
BI00B32Q8    EW22073 MW     20220608180D0203790              AVSSH 0.3F L             CCN000004000000004000FN00000000020220701000004000NNM   20220416203414    1W    00000200000000515000000000032Q8    EMEMI   000000000000MI425012
BI00B32Q8    EW22074 MW     20220615180D0203790              AVSSH 0.3F L             CCN000002000000002000FN00000000020220701000002000NNM   20220416203414    1W    00000200000000515000000000032Q8    EMEMI   000000000000MI126013
BI00B32Q8    EW22071 MW     20220525180D0203752              AVSSH 0.3F P             CCN000002000000002000FN00000000020220701000002000NNM   20220416203414    1W    00000200000000515000000000032Q8    EMEMI   000000000000MI225004
BI00B32Q8    EW22072 MW     20220601180D0203752              AVSSH 0.3F P             CCN000006000000006000FN00000000020220701000006000NNM   20220416203414    1W    00000200000000515000000000032Q8    EMEMI   000000000000MI325009
BI00B32Q8    EW22073 MW     20220608180D0203752              AVSSH 0.3F P             CCN000006000000006000FN00000000020220701000006000NNM   20220416203414    1W    00000200000000515000000000032Q8    EMEMI   000000000000MI425013
BI00B32Q8    EW22074 MW     20220615180D0203752              AVSSH 0.3F P             CCN000004000000004000FN00000000020220701000004000NNM   20220416203414    1W    00000200000000515000000000032Q8    EMEMI   000000000000MI126014
BI00B32Q8    EW22072 MW     20220601180D0203740              AVSSH 0.3F W             CCN000010000000010000FN00000000020220701000010000NNM   20220416203414    1W    00000200000000515000000000032Q8    EMEMI   000000000000MI325010
BI00B32Q8    EW22073 MW     20220608180D0203740              AVSSH 0.3F W             CCN000070000000070000FN00000000020220701000070000NNM   20220416203414    1W    00000200000000515000000000032Q8    EMEMI   000000000000MI425014
BI00B32Q8    EW22074 MW     20220615180D0203740              AVSSH 0.3F W             CCN000058000000058000FN00000000020220701000058000NNM   20220416203414    1W    00000200000000515000000000032Q8    EMEMI   000000000000MI126015
BI00B32Q8    EW22073 MW     20220608180D0203743              AVSSH 0.3F W/B           CCN000002000000002000FN00000000020220701000002000NNM   20220416203414    1W    00000200000000515000000000032Q8    EMEMI   000000000000MI425015
BI00B32Q8    EW22074 MW     20220615180D0203743              AVSSH 0.3F W/B           CCN000008000000008000FN00000000020220701000008000NNM   20220416203414    1W    00000200000000515000000000032Q8    EMEMI   000000000000MI126016
BI00B32Q8    EW22073 MW     20220608180D0203930              AVSSH 0.5F B             CCN000025500000025500FN00000000020220701000025500NNM   20220416203414    1W    00000150000000689000000000032Q8    EMEMI   000000000000MI425016
BI00B32Q8    EW22074 MW     20220615180D0203930              AVSSH 0.5F B             CCN000037500000037500FN00000000020220701000037500NNM   20220416203414    1W    00000150000000689000000000032Q8    EMEMI   000000000000MI126017
BI00B32Q8    EW22073 MW     20220608180D0203937              AVSSH 0.5F B/Y           CCN000001500000001500FN00000000020220701000001500NNM   20220416203414    1W    00000150000000689000000000032Q8    EMEMI   000000000000MI425017
BI00B32Q8    EW22074 MW     20220615180D0203937              AVSSH 0.5F B/Y           CCN000001500000001500FN00000000020220701000001500NNM   20220416203414    1W    00000150000000689000000000032Q8    EMEMI   000000000000MI126018
BI00B32Q8    EW22073 MW     20220608180D0203980              AVSSH 0.5F BR            CCN000003000000003000FN00000000020220701000003000NNM   20220416203414    1W    00000150000000689000000000032Q8    EMEMI   000000000000MI425018
BI00B32Q8    EW22074 MW     20220615180D0203980              AVSSH 0.5F BR            CCN000019500000019500FN00000000020220701000019500NNM   20220416203414    1W    00000150000000689000000000032Q8    EMEMI   000000000000MI126019
BI00B32Q8    EW22074 MW     20220615180D0203960              AVSSH 0.5F G             CCN000001500000001500FN00000000020220701000001500NNM   20220416203414    1W    00000150000000689000000000032Q8    EMEMI   000000000000MI126020
BI00B32Q8    EW22071 MW     20220525180D0203990              AVSSH 0.5F L             CCN000031500000031500FN00000000020220701000031500NNM   20220416203414    1W    00000150000000689000000000032Q8    EMEMI   000000000000MI225005
BI00B32Q8    EW22072 MW     20220601180D0203990              AVSSH 0.5F L             CCN000052500000052500FN00000000020220701000052500NNM   20220416203414    1W    00000150000000689000000000032Q8    EMEMI   000000000000MI325011
BI00B32Q8    EW22073 MW     20220608180D0203990              AVSSH 0.5F L             CCN000063000000063000FN00000000020220701000063000NNM   20220416203414    1W    00000150000000689000000000032Q8    EMEMI   000000000000MI425019
BI00B32Q8    EW22074 MW     20220615180D0203990              AVSSH 0.5F L             CCN000051000000051000FN00000000020220701000051000NNM   20220416203414    1W    00000150000000689000000000032Q8    EMEMI   000000000000MI126021
BI00B32Q8    EW22073 MW     20220608180D0203952              AVSSH 0.5F P             CCN000009000000009000FN00000000020220701000009000NNM   20220416203414    1W    00000150000000689000000000032Q8    EMEMI   000000000000MI425020
BI00B32Q8    EW22074 MW     20220615180D0203952              AVSSH 0.5F P             CCN000013500000013500FN00000000020220701000013500NNM   20220416203414    1W    00000150000000689000000000032Q8    EMEMI   000000000000MI126022
