BI00B32DE    #TCTL2071      202206097187-8856                HOUSING FEMALE           CCN000002000000002000FN00000000020220701000002000NNM   20220505122117    2F0F  00000200000000820000000931532DE    TVYEV-TV005400370024
BI00B32DE    #TCTL2072      202206237187-8856                HOUSING FEMALE           CCN000008000000008000FN00000000020220701000008000NNM   20220505122117    2F0F  00000200000000820000000931532DE    TVYEV-TV005400370024
BI00B32DE    #TCTL2072      202206237188-0149                HLC HOUSING MALE         CCN000017100000017100FN00000000020220701000017100NNM   20220505122117    2F0F  00000090000000809100000923832DE    TVYEV-TV005400370024
BI00B32DE    #TCTL2071      202206097189-0149                HLC HOUSING FEMALE       CCN000004000000004000FN00000000020220701000004000NNM   20220505122117    2F0F  00000200000000970000001078532DE    TVYEV-TV005400370024
BI00B32DE    #TCTL2072      202206237189-0149                HLC HOUSING FEMALE       CCN000020000000020000FN00000000020220701000020000NNM   20220505122117    2F0F  00000200000000970000001078532DE    TVYEV-TV005400370024
BI00B32DE    #TCTL2071      202206097189-3031-30             HOUSING FEMALE           CCN000002400000002400FN00000000020220701000002400NNM   20220505122117    2F0F  00000240000000928800001365832DE    TVYEV-TV005500360039
BI00B32DE    #TCTL2072      202206237189-3031-30             HOUSING FEMALE           CCN000002400000002400FN00000000020220701000002400NNM   20220505122117    2F0F  00000240000000928800001365832DE    TVYEV-TV005500360039
BI00B32DE    #TCTL2072      202206237282-7040-40             HOUSING MALE ASS'Y       CCN000001200000001200FN00000000020220701000001200NNM   20220505122117    2N0N  00000120000000620400000731932DE    TVYEV-TV005400370024
BI00B32DE    #TCTL2072      202206237283-1065                CONNECTOR                CCN000010000000010000FN00000000020220701000010000NNM   20220505122117    2N0N  00000250000001152500001310432DE    TVYEV-TV005500360039
BI00B32DE    #TCTL2072      202206237283-5831                CONNECTOR                CCN000003000000003000FN00000000020220701000003000NNM   20220505122117    2N0N  00000300000000750000000880032DE    TVYEV-TV005400370024
BI00B32DE    #TCTL2071      202206097283-5834                CONNECTOR ASS'Y          CCN000003240000003240FN00000000020220701000003240NNM   20220505122117    2N0N  00000324000001296000001849732DE    TVYEV-TV005600390040
BI00B32DE    #TCTL2072      202206237283-5834                CONNECTOR ASS'Y          CCN000003240000003240FN00000000020220701000003240NNM   20220505122117    2N0N  00000324000001296000001849732DE    TVYEV-TV005600390040
BI00B32DE    #TCTL2071      202206097283-5834-30             CONNECTOR ASS'Y          CCN000006480000006480FN00000000020220701000006480NNM   20220505122117    2N0N  00000324000001296000001853432DE    TVYEV-TV005600390040
BI00B32DE    #TCTL2072      202206237283-5834-30             CONNECTOR ASS'Y          CCN000009720000009720FN00000000020220701000009720NNM   20220505122117    2N0N  00000324000001296000001853432DE    TVYEV-TV005600390040
BI00B32DE    #TCTL2072      202206237283-5834-40             CONNECTOR ASS'Y          CCN000003240000003240FN00000000020220701000003240NNM   20220505122117    2N0N  00000324000001296000001854332DE    TVYEV-TV005600390040
BI00B32DE    #TCTL2072      202206237289-2914                HOUSING FEMALE ASS'Y     CCN000001500000001500FN00000000020220701000001500NNM   20220505122117    2N0N  00000150000000906000001033032DE    TVYEV-TV005400370024
BI00B32DE    #TCTL2071      202206097289-2915-30             HOUSING FEMALE ASS'Y     CCN000001500000001500FN00000000020220701000001500NNM   20220505122117    2N0N  00000150000000964500001091532DE    TVYEV-TV005400370024
BI00B32DE    #TCTL2072      202206237289-2915-30             HOUSING FEMALE ASS'Y     CCN000003000000003000FN00000000020220701000003000NNM   20220505122117    2N0N  00000150000000964500001091532DE    TVYEV-TV005400370024
BI00B32DE    #TCTL2071      202206097289-2916-30             HOUSING FEMALE ASS'Y     CCN000001000000001000FN00000000020220701000001000NNM   20220505122117    2N0N  00000100000000857000001084032DE    TVYEV-TV005400370024
BI00B32DE    #TCTL2072      202206237289-2916-30             HOUSING FEMALE ASS'Y     CCN000002000000002000FN00000000020220701000002000NNM   20220505122117    2N0N  00000100000000857000001084032DE    TVYEV-TV005400370024
BI00B32DE    TCT2073        202206237017-1180-02             TERMINAL                 CCN000072000000072000FN00000000020220701000072000NNM   20220505122117    4P0P  00007200000001065600001229032DE    TVYEV-TV005100280028
BI00B32DE    TCT2075        202207077017-1180-02             TERMINAL                 CCN000072000000072000FN00000000020220701000072000NNM   20220505122117    4P0P  00007200000001065600001229032DE    TVYEV-TV005100280028
BI00B32DE    TCT2074        202206307017-1181-02             TERMINAL                 CCN000063000000063000FN00000000020220701000063000NNM   20220505122117    4P0P  00006300000001089900001266832DE    TVYEV-TV005100280028
BI00B32DE    TCT2072        202206167114-4020                TERMINAL                 CCN000021000000021000FN00000000020220701000021000NNM   20220505122117    4P0P  00002100000000875700001169332DE    TVYEV-TV006400630015
BI00B32DE    TCT2073        202206237114-4020                TERMINAL                 CCN000042000000042000FN00000000020220701000042000NNM   20220505122117    4P0P  00002100000000875700001169332DE    TVYEV-TV006400630015
BI00B32DE    TCT2074        202206307114-4020                TERMINAL                 CCN000042000000042000FN00000000020220701000042000NNM   20220505122117    4P0P  00002100000000875700001169332DE    TVYEV-TV006400630015
BI00B32DE    TCT2075        202207077114-4020                TERMINAL                 CCN000063000000063000FN00000000020220701000063000NNM   20220505122117    4P0P  00002100000000875700001169332DE    TVYEV-TV006400630015
BI00B32DE    TCT2071        202206097114-4021                TERMINAL                 CCN000060000000060000FN00000000020220701000060000NNM   20220505122117    4P0P  00001500000000670500000964132DE    TVYEV-TV006400630015
BI00B32DE    TCT2072        202206167114-4021                TERMINAL                 CCN000060000000060000FN00000000020220701000060000NNM   20220505122117    4P0P  00001500000000670500000964132DE    TVYEV-TV006400630015
BI00B32DE    TCT2073        202206237114-4021                TERMINAL                 CCN000045000000045000FN00000000020220701000045000NNM   20220505122117    4P0P  00001500000000670500000964132DE    TVYEV-TV006400630015
BI00B32DE    TCT2074        202206307114-4021                TERMINAL                 CCN000030000000030000FN00000000020220701000030000NNM   20220505122117    4P0P  00001500000000670500000964132DE    TVYEV-TV006400630015
BI00B32DE    TCT2075        202207077114-4021                TERMINAL                 CCN000060000000060000FN00000000020220701000060000NNM   20220505122117    4P0P  00001500000000670500000964132DE    TVYEV-TV006400630015
BI00B32DE    TCT2071        202206097114-4032                TERMINAL                 CCN000007500000007500FN00000000020220701000007500NNM   20220505122117    4P0P  00000750000000735000001063632DE    TVYEV-TV006400630017
BI00B32DE    TCT2072        202206167114-4032                TERMINAL                 CCN000007500000007500FN00000000020220701000007500NNM   20220505122117    4P0P  00000750000000735000001063632DE    TVYEV-TV006400630017
BI00B32DE    TCT2073        202206237114-4032                TERMINAL                 CCN000007500000007500FN00000000020220701000007500NNM   20220505122117    4P0P  00000750000000735000001063632DE    TVYEV-TV006400630017
BI00B32DE    TCT2075        202207077114-4032                TERMINAL                 CCN000007500000007500FN00000000020220701000007500NNM   20220505122117    4P0P  00000750000000735000001063632DE    TVYEV-TV006400630017
