BI00B32Q8    @EW21111 MW    20211201181D6910235              AVSSHCS 0.5FX2 B/R       CCN000002400000002400FN00000000020211101000002400NNM20 20211125155009    1W    00000030000002792600000000032Q8    EMEMI   000000000000MI11B004
BI00B32Q8    @EW21111 MW    20211020181F21009ZZ              AVSSHCS-S 0.5FX2 B       CCN000006000000001200FY00000120020211101000000000NNM00 20211125155220    1W    00000030000002505800000000032Q8    EMEMI   000000000000MI11B008
BI00B32Q8    @EW21111 MW    20211020181E48013ZZ              CAVSAS-S 0.3X3 GY        CCN000001000000000750FY00000075020211101000000000NNM00 20211125155111    1W    00000025000002685000000000032Q8    EMEMI   000000000000MI11B007
BI00B32Q8    @EW21111 MW    20211201181E48013ZZ              CAVSAS-S 0.3X3 GY        CCN000000250000000250FN00000000020211101000000250NNM20 20211125155053    1W    00000025000002685000000000032Q8    EMEMI   000000000000MI11B007
BI00B32Q8    @EW21111 MW    20211201181F21009ZZ              AVSSHCS-S 0.5FX2 B       CCN000004800000004800FN00000000020211101000004800NNM20 20211125155159    1W    00000030000002505800000000032Q8    EMEMI   000000000000MI11B008
BI00A32U5    DW1049         202111261801W003940              IVSSH 0.5F W             PCN000037800000037800FN00000000020220101000037800NNM22 20211125145150U5  1W    00000180000000625000000000032U5    ASAMSD  000000000000AM41B039
BI00A32U5    DW1049         202111261801W003950              IVSSH 0.5F R             PCN000081000000081000FN00000000020220101000081000NNM22 20211125145150U5  1W    00000180000000625000000000032U5    ASAMSD  000000000000AM41B037
BI00A32U5    DW1049         202111261801W003990              IVSSH 0.5F L             PCN000077400000077400FN00000000020220101000077400NNM22 20211125145150U5  1W    00000180000000625000000000032U5    ASAMSD  000000000000AM41B035
BI00A32U5    DW1049         202111261801W003992              IVSSH 0.5F V             PCN000021600000021600FN00000000020220101000021600NNM22 20211125145150U5  1W    00000180000000625000000000032U5    ASAMSD  000000000000AM41B038
BI00A32X5    TWB1049        202111261801W006970              IVSSH 0.35F Y            PCN000012500000002500FN00000000020220101000002500NNE22 20211125143601X5  1W    00000250000000452000000000032X5    EPYNA-E 000000000000AE41B018
