BI00B1200    #2399T52309    202204077174-1270-30             SEALED COVER             CCN000002400000002400FN00000000020220501000002400NNM   20220223121808    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T52310    202204217174-1270-30             SEALED COVER             CCN000002400000002400FN00000000020220501000002400NNM   20220223121808    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T52309    202204077174-1271-30             SEALED COVER             CCN000001920000001920FN00000000020220501000001920NNM   20220223121808    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T52310    202204217174-1271-30             SEALED COVER             CCN000001920000001920FN00000000020220501000001920NNM   20220223121808    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T52309    202204077174-1314-30             SEALED COVER             CCN000013600000013600FN00000000020220501000013600NNM   20220223121808    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52310    202204217174-1314-30             SEALED COVER             CCN000013600000013600FN00000000020220501000013600NNM   20220223121808    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52309    202204077174-1315-30             SEALED COVER             CCN000008000000008000FN00000000020220501000008000NNM   20220223121808    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    #2399T52310    202204217174-1315-30             SEALED COVER             CCN000007200000007200FN00000000020220501000007200NNM   20220223121808    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    2399T52311     202204287116-4100-02             TERMINAL                 CCN000315000000315000FN00000000020220501000315000NNM   20220223121808    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52311     202204287116-4111-02             TERMINAL                 CCN000045000000045000FN00000000020220501000045000NNM   20220223121808    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52311     202204287116-4112-02             TERMINAL                 CCN000012000000012000FN00000000020220501000012000NNM   20220223121808    4P0P  0000060000000045000000073821200    YCYC    006400630015
BI00B1200    2399T52311     202204287158-3022-80             RUBBER STOPPER           CCN000030000000030000FN00000000020220501000030000NNM   20220223121808    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52311     202204287172-5540-80             SEALED WIRE SEAL         CCN000160000000160000FN00000000020220501000160000NNM   20220223121808    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52311     202204287173-3291-40             LIF LEVER                CCN000021600000021600FN00000000020220501000021600NNM   20220223121808    1F0F  0000024000000086780000106781200    YCYC    005500360039
BI00B1200    #2399T52311    202204287124-1026-30             PROTECTOR                CCN000003000000003000FN00000000020220501000003000NNM   20220223121808    2F0F  0000030000000082800000098601200    YCYC    005500360039
BI00B1200    #2399T52311    202204287154-5597-30             CASSETTE R/B             CCN000012000000012000FN00000000020220501000012000NNM   20220223121808    2F0F  0000008000000073600000095201200    YCYC    005500360039
BI00B1200    #2399T52311    202204287173-3225-10             LIF LEVER                CCN000016000000016000FN00000000020220501000016000NNM   20220223121808    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T52311    202204287174-1270-30             SEALED COVER             CCN000002400000002400FN00000000020220501000002400NNM   20220223121808    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T52311    202204287174-1271-30             SEALED COVER             CCN000001600000001600FN00000000020220501000001600NNM   20220223121808    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T52311    202204287174-1314-30             SEALED COVER             CCN000013600000013600FN00000000020220501000013600NNM   20220223121808    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52311    202204287174-1315-30             SEALED COVER             CCN000007200000007200FN00000000020220501000007200NNM   20220223121808    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    2399T52312     202204077195-0546-02             TERMINAL ALUMINIUM       CCN000051000000051000FN00000000020220501000051000NNM   20220223121808    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T52313     202204217195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020220501000025500NNM   20220223121808    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T52312     202204077195-0783-08             TERMINAL                 CCN000180000000180000FN00000000020220501000180000NNM   20220223121808    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52313     202204217195-0783-08             TERMINAL                 CCN000180000000180000FN00000000020220501000180000NNM   20220223121808    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52312     202204077196-0104-02             TERMINAL                 CCN000038000000038000FN00000000020220501000038000NNM   20220223121808    4P0P  0000380000000057000000095641200    YCYC    006400630017
BI00B1200    2399T52313     202204217196-0104-02             TERMINAL                 CCN000038000000038000FN00000000020220501000038000NNM   20220223121808    4P0P  0000380000000057000000095641200    YCYC    006400630017
BI00B1200    2399T52312     202204077196-0550-02             TERMINAL ALUMINIUM       CCN000064000000064000FN00000000020220501000064000NNM   20220223121808    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00B1200    2399T52313     202204217196-0550-02             TERMINAL ALUMINIUM       CCN000032000000032000FN00000000020220501000032000NNM   20220223121808    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00B1200    2399T52312     202204077196-0648-02             TERMINAL                 CCN000180000000180000FN00000000020220501000180000NNM   20220223121808    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52313     202204217196-0648-02             TERMINAL                 CCN000180000000180000FN00000000020220501000180000NNM   20220223121808    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52312     202204077196-0805-02             TERMINAL FEMALE          CCN000427500000427500FN00000000020220501000427500NNM   20220223121808    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52313     202204217196-0805-02             TERMINAL FEMALE          CCN000427500000427500FN00000000020220501000427500NNM   20220223121808    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52312     202204077282-5574-10             CONNECTOR                CCN000001600000001600FN00000000020220501000001600NNM   20220223121808    4N0N  0000008000000123500000142301200    YCYC    005600390040
BI00B1200    2399T52313     202204217282-5574-10             CONNECTOR                CCN000000800000000800FN00000000020220501000000800NNM   20220223121808    4N0N  0000008000000123500000142301200    YCYC    005600390040
BI00B1200    #2399T52312    202204077174-1515                FRONT DOOR COVER         CCN000014400000014400FN00000000020220501000014400NNM   20220223121808    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52313    202204217174-1515                FRONT DOOR COVER         CCN000014400000014400FN00000000020220501000014400NNM   20220223121808    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52314    202204287174-1515                FRONT DOOR COVER         CCN000013800000013800FN00000000020220501000013800NNM   20220223121808    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52312    202204077174-1760-50             CAP                      CCN000030000000030000FN00000000020220501000030000NNM   20220223121808    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    #2399T52313    202204217174-1760-50             CAP                      CCN000030000000030000FN00000000020220501000030000NNM   20220223121808    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    #2399T52312    202204077183-9954                CONNECTOR HOUSING        CCN000005000000005000FN00000000020220501000005000NNM   20220223121808    2F0F  0000025000000130400000147801200    YCYC    005500360039
BI00B1200    #2399T52313    202204217183-9954                CONNECTOR HOUSING        CCN000002500000002500FN00000000020220501000002500NNM   20220223121808    2F0F  0000025000000130400000147801200    YCYC    005500360039
BI00B1200    #2399T52312    202204077189-2978-30             HOUSING FEMALE           CCN000001500000001500FN00000000020220501000001500NNM   20220223121808    2F0F  0000015000000096690000109691200    YCYC    005400370024
BI00B1200    #2399T52312    202204077189-3033                HOUSING FEMALE           CCN000060800000060800FN00000000020220501000060800NNM   20220223121808    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #2399T52313    202204217189-3033                HOUSING FEMALE           CCN000060800000060800FN00000000020220501000060800NNM   20220223121808    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #2399T52312    202204077189-3034-30             HOUSING FEMALE           CCN000016000000016000FN00000000020220501000016000NNM   20220223121808    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52313    202204217189-3034-30             HOUSING FEMALE           CCN000016000000016000FN00000000020220501000016000NNM   20220223121808    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52312    202204077189-3036                HOUSING FEMALE           CCN000043200000043200FN00000000020220501000043200NNM   20220223121808    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T52313    202204217189-3036                HOUSING FEMALE           CCN000041600000041600FN00000000020220501000041600NNM   20220223121808    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T52312    202204077189-3036-30             HOUSING FEMALE           CCN000003200000003200FN00000000020220501000003200NNM   20220223121808    2F0F  0000016000000092000000114001200    YCYC    005500360039
