BI00A1200    HIB21121301    202202107196-2027-02             TERMINAL FEMALE          CCN000024000000024000FN00000000020220101000024000NNED0420211229200538    4P0P  0000240000000104400000120741200    YCYC    005100280028
BI00B1200    #2399T52107    202202177154-5597-30             CASSETTE R/B             CCN000140800000140800FN00000000020220301000140800NNM   20211229200538    2F0F  0000008000000073600000095201200    YCYC    005500360039
BI00B1200    #2399T52105    202202037173-3225-10             LIF LEVER                CCN000049600000049600FN00000000020220301000049600NNM   20211229200538    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T52106    202202107173-3225-10             LIF LEVER                CCN000049600000049600FN00000000020220301000049600NNM   20211229200538    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T52107    202202177173-3225-10             LIF LEVER                CCN000049600000049600FN00000000020220301000049600NNM   20211229200538    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T52105    202202037174-1271-30             SEALED COVER             CCN000000640000000640FN00000000020220301000000640NNM   20211229200538    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T52106    202202107174-1271-30             SEALED COVER             CCN000000640000000640FN00000000020220301000000640NNM   20211229200538    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T52107    202202177174-1271-30             SEALED COVER             CCN000000640000000640FN00000000020220301000000640NNM   20211229200538    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T52105    202202037174-1314-30             SEALED COVER             CCN000004800000004800FN00000000020220301000004800NNM   20211229200538    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52106    202202107174-1314-30             SEALED COVER             CCN000004800000004800FN00000000020220301000004800NNM   20211229200538    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52107    202202177174-1314-30             SEALED COVER             CCN000004800000004800FN00000000020220301000004800NNM   20211229200538    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    2399T52108     202202247116-4100-02             TERMINAL                 CCN000075000000075000FN00000000020220301000075000NNM   20211229200538    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52108     202202247137-3047-30             UNIT PACKING             CCN000001000000001000FN00000000020220301000001000NNM   20211229200538    1C0C  0000010000000017050000021891200    YCYC    002700430014
BI00B1200    2399T52108     202202247158-3022-80             RUBBER STOPPER           CCN000010000000010000FN00000000020220301000010000NNM   20211229200538    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52108     202202247172-5540-80             SEALED WIRE SEAL         CCN000080000000080000FN00000000020220301000080000NNM   20211229200538    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52108     202202247173-3291-40             LIF LEVER                CCN000002400000002400FN00000000020220301000002400NNM   20211229200538    1F0F  0000024000000086780000106781200    YCYC    005500360039
BI00B1200    #2399T52108    202202247154-5597-30             CASSETTE R/B             CCN000140800000140800FN00000000020220301000140800NNM   20211229200538    2F0F  0000008000000073600000095201200    YCYC    005500360039
BI00B1200    #2399T52108    202202247173-3225-10             LIF LEVER                CCN000049600000049600FN00000000020220301000049600NNM   20211229200538    2F0F  0000008000000059200000071201200    YCYC    005500360039
