BI00A1200    2399T51C15     202203257288-6547                CONNECTOR MALE ASS'Y     PCN000120000000120000FN00000000020220101000120000NNMM0020220301164603    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B32A7    ZZ22051BMW     202204067172-5403-30             SEALED PACKING           CCN000068000000068000FN00000000020220501000068000NNM   20220301132636    1C0C  00000400000000653600000701732A7    ZZZZY   004300270014
BI00B32A7    ZZ22052BMW     202204127172-5403-30             SEALED PACKING           CCN000088000000088000FN00000000020220501000088000NNM   20220301132636    1C0C  00000400000000653600000701732A7    ZZZZY   004300270014
BI00B32A7    ZZ22053BMW     202204207172-5403-30             SEALED PACKING           CCN000044000000044000FN00000000020220501000044000NNM   20220301132636    1C0C  00000400000000653600000701732A7    ZZZZY   004300270014
BI00B32A7    ZZ22054BMW     202204277172-5403-30             SEALED PACKING           CCN000028000000028000FN00000000020220501000028000NNM   20220301132636    1C0C  00000400000000653600000701732A7    ZZZZY   004300270014
BI00B32A7    ZZ22053BMW     202204207289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220501000002400NNM   20220301132636    1N0N  00000240000000686400000901432A7    ZZZZY   005500360039
BI00B32A7    #ZZ22053BMW    202204207158-3003-90             RUBBER STOPPER           CCN000020000000020000FN00000000020220501000020000NNM   20220301132628    2C0C  00002000000000250000000306032A7    ZZZZY   002700430014
BI00B32A7    #ZZ22051BMW    202204067182-9632-30             JOINT CONNECTOR          CCN000006000000006000FN00000000020220501000006000NNM   20220301132628    2F0F  00000300000001320000001445532A7    ZZZZY   005400370024
BI00B32A7    #ZZ22052BMW    202204127182-9632-30             JOINT CONNECTOR          CCN000003000000003000FN00000000020220501000003000NNM   20220301132628    2F0F  00000300000001320000001445532A7    ZZZZY   005400370024
BI00B32A7    #ZZ22053BMW    202204207182-9632-30             JOINT CONNECTOR          CCN000003000000003000FN00000000020220501000003000NNM   20220301132628    2F0F  00000300000001320000001445532A7    ZZZZY   005400370024
BI00B32A7    #ZZ22054BMW    202204277182-9632-30             JOINT CONNECTOR          CCN000003000000003000FN00000000020220501000003000NNM   20220301132628    2F0F  00000300000001320000001445532A7    ZZZZY   005400370024
BI00B32A7    ZZ22053LMW     202204207017-1180-02             TERMINAL                 CCN000072000000072000FN00000000020220501000072000NNM   20220301132716    4P0P  00007200000001065600001229032A7    ZZZZY   005100280028
BI00B32A7    ZZ22054LMW     202204277017-1180-02             TERMINAL                 CCN000072000000072000FN00000000020220501000072000NNM   20220301132716    4P0P  00007200000001065600001229032A7    ZZZZY   005100280028
