BI00B1200    #8670T52104    202203317172-5629-80             RUBBER STOPPER           CCN000020000000020000FN00000000020220401000020000NNE00020220324161652    2H0H  0000200000000006000000011111200    YCYC    004300270014
BI00B1200    8870T52203     202205197289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220501000002400NNED0420220324122018    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    8750T52301     202205057289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220501000002400NNMD0420220324122018    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52316     202204217289-3342                HOUSING FEMALE ASS'Y     CCN000004800000004800FN00000000020220501000004800NNMD0420220324122018    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52317     202205057289-3342                HOUSING FEMALE ASS'Y     CCN000004800000004800FN00000000020220501000004800NNMD0420220324122018    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52319     202205127289-3342                HOUSING FEMALE ASS'Y     CCN000004800000004800FN00000000020220501000004800NNMD0420220324122018    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7860T52301     202205197289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220501000002400NNMD0420220324122018    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52415     202205127158-3022-80             RUBBER STOPPER           CCN000030000000030000FN00000000020220601000030000NNM   20220324150235    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52416     202205197158-3022-80             RUBBER STOPPER           CCN000030000000030000FN00000000020220601000030000NNM   20220324150235    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52417     202205267158-3022-80             RUBBER STOPPER           CCN000030000000030000FN00000000020220601000030000NNM   20220324150235    1C0C  0000050000000046750000052401200    YCYC    002700430014
BI00B1200    2399T52414     202205057172-5402-30             SEAL RUBBER              CCN000008000000008000FN00000000020220601000008000NNM   20220324150235    1C0C  0000080000000045760000050601200    YCYC    004300270014
BI00B1200    2399T52415     202205127172-5402-30             SEAL RUBBER              CCN000008000000008000FN00000000020220601000008000NNM   20220324150235    1C0C  0000080000000045760000050601200    YCYC    004300270014
BI00B1200    2399T52414     202205057172-5540-80             SEALED WIRE SEAL         CCN000200000000200000FN00000000020220601000200000NNM   20220324150235    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52415     202205127172-5540-80             SEALED WIRE SEAL         CCN000180000000180000FN00000000020220601000180000NNM   20220324150235    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52416     202205197172-5540-80             SEALED WIRE SEAL         CCN000180000000180000FN00000000020220601000180000NNM   20220324150235    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    2399T52417     202205267172-5540-80             SEALED WIRE SEAL         CCN000180000000180000FN00000000020220601000180000NNM   20220324150235    1C0C  0000200000000018600000023441200    YCYC    004300270014
BI00B1200    #2399T52414    202205057124-1026-30             PROTECTOR                CCN000003000000003000FN00000000020220601000003000NNM   20220324150233    2F0F  0000030000000082800000098601200    YCYC    005500360039
BI00B1200    #2399T52415    202205127124-1026-30             PROTECTOR                CCN000003000000003000FN00000000020220601000003000NNM   20220324150233    2F0F  0000030000000082800000098601200    YCYC    005500360039
BI00B1200    #2399T52416    202205197124-1026-30             PROTECTOR                CCN000003000000003000FN00000000020220601000003000NNM   20220324150233    2F0F  0000030000000082800000098601200    YCYC    005500360039
BI00B1200    #2399T52417    202205267124-1026-30             PROTECTOR                CCN000003000000003000FN00000000020220601000003000NNM   20220324150233    2F0F  0000030000000082800000098601200    YCYC    005500360039
BI00B1200    #2399T52414    202205057174-1270-30             SEALED COVER             CCN000003200000003200FN00000000020220601000003200NNM   20220324150233    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T52415    202205127174-1270-30             SEALED COVER             CCN000003200000003200FN00000000020220601000003200NNM   20220324150233    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T52416    202205197174-1270-30             SEALED COVER             CCN000003200000003200FN00000000020220601000003200NNM   20220324150233    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T52417    202205267174-1270-30             SEALED COVER             CCN000002400000002400FN00000000020220601000002400NNM   20220324150233    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T52414    202205057174-1271-30             SEALED COVER             CCN000000960000000960FN00000000020220601000000960NNM   20220324150233    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T52415    202205127174-1271-30             SEALED COVER             CCN000000960000000960FN00000000020220601000000960NNM   20220324150233    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T52416    202205197174-1271-30             SEALED COVER             CCN000000960000000960FN00000000020220601000000960NNM   20220324150233    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T52417    202205267174-1271-30             SEALED COVER             CCN000000960000000960FN00000000020220601000000960NNM   20220324150233    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T52414    202205057174-1314-30             SEALED COVER             CCN000006400000006400FN00000000020220601000006400NNM   20220324150233    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52415    202205127174-1314-30             SEALED COVER             CCN000005600000005600FN00000000020220601000005600NNM   20220324150233    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52416    202205197174-1314-30             SEALED COVER             CCN000005600000005600FN00000000020220601000005600NNM   20220324150233    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52417    202205267174-1314-30             SEALED COVER             CCN000005600000005600FN00000000020220601000005600NNM   20220324150233    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52414    202205057174-1315-30             SEALED COVER             CCN000007200000007200FN00000000020220601000007200NNM   20220324150233    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    #2399T52415    202205127174-1315-30             SEALED COVER             CCN000007200000007200FN00000000020220601000007200NNM   20220324150233    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    #2399T52416    202205197174-1315-30             SEALED COVER             CCN000006400000006400FN00000000020220601000006400NNM   20220324150233    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    #2399T52417    202205267174-1315-30             SEALED COVER             CCN000006400000006400FN00000000020220601000006400NNM   20220324150233    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    2399T52418     202205057195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020220601000025500NNM   20220324150323    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T52419     202205127195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020220601000025500NNM   20220324150323    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T52418     202205057195-0783-08             TERMINAL                 CCN000150000000150000FN00000000020220601000150000NNM   20220324150323    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52419     202205127195-0783-08             TERMINAL                 CCN000150000000150000FN00000000020220601000150000NNM   20220324150323    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52420     202205197195-0783-08             TERMINAL                 CCN000120000000120000FN00000000020220601000120000NNM   20220324150323    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52421     202205267195-0783-08             TERMINAL                 CCN000120000000120000FN00000000020220601000120000NNM   20220324150323    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52418     202205057196-0104-02             TERMINAL                 CCN000038000000038000FN00000000020220601000038000NNM   20220324150323    4P0P  0000380000000057000000095641200    YCYC    006400630017
BI00B1200    2399T52419     202205127196-0104-02             TERMINAL                 CCN000038000000038000FN00000000020220601000038000NNM   20220324150323    4P0P  0000380000000057000000095641200    YCYC    006400630017
BI00B1200    2399T52420     202205197196-0104-02             TERMINAL                 CCN000038000000038000FN00000000020220601000038000NNM   20220324150323    4P0P  0000380000000057000000095641200    YCYC    006400630017
BI00B1200    2399T52418     202205057196-0648-02             TERMINAL                 CCN000135000000135000FN00000000020220601000135000NNM   20220324150323    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52419     202205127196-0648-02             TERMINAL                 CCN000135000000135000FN00000000020220601000135000NNM   20220324150323    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52420     202205197196-0648-02             TERMINAL                 CCN000120000000120000FN00000000020220601000120000NNM   20220324150323    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52421     202205267196-0648-02             TERMINAL                 CCN000120000000120000FN00000000020220601000120000NNM   20220324150323    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52418     202205057196-0805-02             TERMINAL FEMALE          CCN000247500000247500FN00000000020220601000247500NNM   20220324150323    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52419     202205127196-0805-02             TERMINAL FEMALE          CCN000247500000247500FN00000000020220601000247500NNM   20220324150323    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52420     202205197196-0805-02             TERMINAL FEMALE          CCN000247500000247500FN00000000020220601000247500NNM   20220324150323    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52421     202205267196-0805-02             TERMINAL FEMALE          CCN000247500000247500FN00000000020220601000247500NNM   20220324150323    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52418     202205057282-5574-10             CONNECTOR                CCN000001600000001600FN00000000020220601000001600NNM   20220324150323    4N0N  0000008000000123500000142301200    YCYC    005600390040
BI00B1200    2399T52419     202205127282-5574-10             CONNECTOR                CCN000001600000001600FN00000000020220601000001600NNM   20220324150323    4N0N  0000008000000123500000142301200    YCYC    005600390040
BI00B1200    2399T52420     202205197282-5574-10             CONNECTOR                CCN000000800000000800FN00000000020220601000000800NNM   20220324150323    4N0N  0000008000000123500000142301200    YCYC    005600390040
BI00B1200    2399T52421     202205267282-5574-10             CONNECTOR                CCN000000800000000800FN00000000020220601000000800NNM   20220324150323    4N0N  0000008000000123500000142301200    YCYC    005600390040
BI00B1200    2399T52418     202205057287-9323                UNSEALED HOUSING SUB     CCN000007200000007200FN00000000020220601000007200NNM   20220324150323    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52419     202205127287-9323                UNSEALED HOUSING SUB     CCN000007200000007200FN00000000020220601000007200NNM   20220324150323    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52420     202205197287-9323                UNSEALED HOUSING SUB     CCN000007200000007200FN00000000020220601000007200NNM   20220324150323    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52421     202205267287-9323                UNSEALED HOUSING SUB     CCN000007200000007200FN00000000020220601000007200NNM   20220324150323    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52418     202205057288-3334-30             HOUSING MALE             CCN000001500000001500FN00000000020220601000001500NNM   20220324150323    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T52419     202205127288-3334-30             HOUSING MALE             CCN000001500000001500FN00000000020220601000001500NNM   20220324150323    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T52420     202205197288-3334-30             HOUSING MALE             CCN000001500000001500FN00000000020220601000001500NNM   20220324150323    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T52418     202205057288-6547                CONNECTOR MALE ASS'Y     CCN000100500000100500FN00000000020220601000100500NNM   20220324150323    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52419     202205127288-6547                CONNECTOR MALE ASS'Y     CCN000100500000100500FN00000000020220601000100500NNM   20220324150323    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52420     202205197288-6547                CONNECTOR MALE ASS'Y     CCN000099750000099750FN00000000020220601000099750NNM   20220324150323    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52421     202205267288-6547                CONNECTOR MALE ASS'Y     CCN000099750000099750FN00000000020220601000099750NNM   20220324150323    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52418     202205057288-6598-70             HOUSING MALE ASS'Y       CCN000024480000024480FN00000000020220601000024480NNM   20220324150323    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52419     202205127288-6598-70             HOUSING MALE ASS'Y       CCN000024480000024480FN00000000020220601000024480NNM   20220324150323    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52420     202205197288-6598-70             HOUSING MALE ASS'Y       CCN000023040000023040FN00000000020220601000023040NNM   20220324150323    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52421     202205267288-6598-70             HOUSING MALE ASS'Y       CCN000023040000023040FN00000000020220601000023040NNM   20220324150323    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    #2399T52418    202205057174-1515                FRONT DOOR COVER         CCN000009600000009600FN00000000020220601000009600NNM   20220324150320    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52419    202205127174-1515                FRONT DOOR COVER         CCN000009600000009600FN00000000020220601000009600NNM   20220324150320    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52420    202205197174-1515                FRONT DOOR COVER         CCN000009600000009600FN00000000020220601000009600NNM   20220324150320    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52421    202205267174-1515                FRONT DOOR COVER         CCN000009600000009600FN00000000020220601000009600NNM   20220324150320    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52418    202205057189-2978-30             HOUSING FEMALE           CCN000001500000001500FN00000000020220601000001500NNM   20220324150320    2F0F  0000015000000096690000109691200    YCYC    005400370024
BI00B1200    #2399T52418    202205057189-3034-30             HOUSING FEMALE           CCN000016000000016000FN00000000020220601000016000NNM   20220324150320    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52419    202205127189-3034-30             HOUSING FEMALE           CCN000016000000016000FN00000000020220601000016000NNM   20220324150320    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52420    202205197189-3034-30             HOUSING FEMALE           CCN000016000000016000FN00000000020220601000016000NNM   20220324150320    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52421    202205267189-3034-30             HOUSING FEMALE           CCN000014400000014400FN00000000020220601000014400NNM   20220324150320    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52418    202205057189-3036-30             HOUSING FEMALE           CCN000003200000003200FN00000000020220601000003200NNM   20220324150320    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    #2399T52419    202205127189-3036-30             HOUSING FEMALE           CCN000003200000003200FN00000000020220601000003200NNM   20220324150320    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    #2399T52420    202205197189-3036-30             HOUSING FEMALE           CCN000003200000003200FN00000000020220601000003200NNM   20220324150320    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    #2399T52421    202205267189-3036-30             HOUSING FEMALE           CCN000001600000001600FN00000000020220601000001600NNM   20220324150320    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    #2399T52418    202205057198-1373-60             HOUSING FEMALE           CCN000006000000006000FN00000000020220601000006000NNM   20220324150320    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    #2399T52419    202205127198-1373-60             HOUSING FEMALE           CCN000006000000006000FN00000000020220601000006000NNM   20220324150320    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    #2399T52420    202205197198-1373-60             HOUSING FEMALE           CCN000004000000004000FN00000000020220601000004000NNM   20220324150320    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    #2399T52421    202205267198-1373-60             HOUSING FEMALE           CCN000004000000004000FN00000000020220601000004000NNM   20220324150320    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    2399T52422     202205057288-7969                HYBRID MALE ASS'Y        CCN000029760000029760FN00000000020220601000029760NNM   20220324150428    1N0N  0000003200000087620000110171200    YCYC    005400370024
BI00B1200    2399T52423     202205127288-7969                HYBRID MALE ASS'Y        CCN000029440000029440FN00000000020220601000029440NNM   20220324150428    1N0N  0000003200000087620000110171200    YCYC    005400370024
BI00B1200    2399T52424     202205197288-7969                HYBRID MALE ASS'Y        CCN000029440000029440FN00000000020220601000029440NNM   20220324150428    1N0N  0000003200000087620000110171200    YCYC    005400370024
BI00B1200    2399T52425     202205267288-7969                HYBRID MALE ASS'Y        CCN000029440000029440FN00000000020220601000029440NNM   20220324150428    1N0N  0000003200000087620000110171200    YCYC    005400370024
BI00B1200    2399T52422     202205057289-0269                HOUSING SUB ASSEMBLY     CCN000004800000004800FN00000000020220601000004800NNM   20220324150428    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52423     202205127289-0269                HOUSING SUB ASSEMBLY     CCN000004800000004800FN00000000020220601000004800NNM   20220324150428    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52424     202205197289-0269                HOUSING SUB ASSEMBLY     CCN000004800000004800FN00000000020220601000004800NNM   20220324150428    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52425     202205267289-0269                HOUSING SUB ASSEMBLY     CCN000003200000003200FN00000000020220601000003200NNM   20220324150428    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52422     202205057289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220601000002400NNM   20220324150428    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52422     202205057289-4212-80             SEALED HOUSING ASS'Y     CCN000008000000008000FN00000000020220601000008000NNM   20220324150428    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52423     202205127289-4212-80             SEALED HOUSING ASS'Y     CCN000008000000008000FN00000000020220601000008000NNM   20220324150428    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52424     202205197289-4212-80             SEALED HOUSING ASS'Y     CCN000006000000006000FN00000000020220601000006000NNM   20220324150428    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52425     202205267289-4212-80             SEALED HOUSING ASS'Y     CCN000006000000006000FN00000000020220601000006000NNM   20220324150428    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52422     202205057289-6159-30             HOUSING FEMALE ASS'Y     CCN000001440000001440FN00000000020220601000001440NNM   20220324150428    4N0N  0000002400000109500000137501200    YCYC    005500360039
BI00B1200    2399T52423     202205127289-6159-30             HOUSING FEMALE ASS'Y     CCN000001440000001440FN00000000020220601000001440NNM   20220324150428    4N0N  0000002400000109500000137501200    YCYC    005500360039
BI00B1200    2399T52424     202205197289-6159-30             HOUSING FEMALE ASS'Y     CCN000001440000001440FN00000000020220601000001440NNM   20220324150428    4N0N  0000002400000109500000137501200    YCYC    005500360039
BI00B1200    2399T52425     202205267289-6159-30             HOUSING FEMALE ASS'Y     CCN000001200000001200FN00000000020220601000001200NNM   20220324150428    4N0N  0000002400000109500000137501200    YCYC    005500360039
BI00B1200    2399T52422     202205057289-6160-30             HOUSING FEMALE ASS'Y     CCN000000960000000960FN00000000020220601000000960NNM   20220324150428    4N0N  0000001600000103740000132041200    YCYC    005500360039
BI00B1200    2399T52423     202205127289-6160-30             HOUSING FEMALE ASS'Y     CCN000000960000000960FN00000000020220601000000960NNM   20220324150428    4N0N  0000001600000103740000132041200    YCYC    005500360039
BI00B1200    2399T52424     202205197289-6160-30             HOUSING FEMALE ASS'Y     CCN000000800000000800FN00000000020220601000000800NNM   20220324150428    4N0N  0000001600000103740000132041200    YCYC    005500360039
BI00B1200    2399T52425     202205267289-6160-30             HOUSING FEMALE ASS'Y     CCN000000800000000800FN00000000020220601000000800NNM   20220324150428    4N0N  0000001600000103740000132041200    YCYC    005500360039
BI00B1200    2399T52422     202205057289-6524-30             HOUSING FEMALE ASS'Y     CCN000000480000000480FN00000000020220601000000480NNM   20220324150428    4N0N  0000002400000135120000166621200    YCYC    005500360039
BI00B1200    2399T52423     202205127289-6524-30             HOUSING FEMALE ASS'Y     CCN000000480000000480FN00000000020220601000000480NNM   20220324150428    4N0N  0000002400000135120000166621200    YCYC    005500360039
BI00B1200    2399T52424     202205197289-6524-30             HOUSING FEMALE ASS'Y     CCN000000240000000240FN00000000020220601000000240NNM   20220324150428    4N0N  0000002400000135120000166621200    YCYC    005500360039
BI00B1200    2399T52425     202205267289-6524-30             HOUSING FEMALE ASS'Y     CCN000000240000000240FN00000000020220601000000240NNM   20220324150428    4N0N  0000002400000135120000166621200    YCYC    005500360039
BI00B1200    2399T52422     202205057289-6547                HOUSING FEMALE ASS'Y     CCN000100800000100800FN00000000020220601000100800NNM   20220324150428    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B1200    2399T52423     202205127289-6547                HOUSING FEMALE ASS'Y     CCN000098400000098400FN00000000020220601000098400NNM   20220324150428    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B1200    2399T52424     202205197289-6547                HOUSING FEMALE ASS'Y     CCN000098400000098400FN00000000020220601000098400NNM   20220324150428    1N0N  0000024000000115200000136201200    YCYC    005500360039
