BI00B32A7    #ZZ22032BMW    202202097172-5937-90             SEAL RUBBER              CCN000004000000004000FN00000000020220301000004000NNM   20220106144648    2H0H  00000100000000620000000666832A7    ZZZZY   004300270014
BI00B32A7    #ZZ22033BMW    202202097172-5937-90             SEAL RUBBER              CCN000002000000002000FN00000000020220301000002000NNM   20220106144648    2H0H  00000100000000620000000666832A7    ZZZZY   004300270014
BI00B32A7    #ZZ22034BMW    202202237172-5937-90             SEAL RUBBER              CCN000002000000002000FN00000000020220301000002000NNM   20220106144648    2H0H  00000100000000620000000666832A7    ZZZZY   004300270014
BI00B32A7    #ZZ22031BMW    202202027182-9632-30             JOINT CONNECTOR          CCN000006000000006000FN00000000020220301000006000NNM   20220106144648    2F0F  00000300000001320000001445532A7    ZZZZY   005400370024
BI00B32A7    #ZZ22033BMW    202202097182-9632-30             JOINT CONNECTOR          CCN000003000000003000FN00000000020220301000003000NNM   20220106144648    2F0F  00000300000001320000001445532A7    ZZZZY   005400370024
BI00B32A7    ZZ22033LMW     202202097017-1180-02             TERMINAL                 CCN000072000000072000FN00000000020220301000072000NNM   20220106144725    4P0P  00007200000001065600001229032A7    ZZZZY   005100280028
BI00B32A7    ZZ22034LMW     202202237017-1180-02             TERMINAL                 CCN000072000000072000FN00000000020220301000072000NNM   20220106144725    4P0P  00007200000001065600001229032A7    ZZZZY   005100280028
BI00B32A7    ZZ22031LMW     202202027017-1182-02             TERMINAL                 CCN000045000000045000FN00000000020220301000045000NNM   20220106144725    4P0P  00004500000001165500001318632A7    ZZZZY   005100280028
BI00B32A7    ZZ22033LMW     202202097017-1182-02             TERMINAL                 CCN000090000000090000FN00000000020220301000090000NNM   20220106144725    4P0P  00004500000001165500001318632A7    ZZZZY   005100280028
BI00B32A7    ZZ22031LMW     202202027017-1183-02             TERMINAL                 CCN000135000000135000FN00000000020220301000135000NNM   20220106144725    4P0P  00002700000001139400001307432A7    ZZZZY   005100280028
BI00B32A7    ZZ22033LMW     202202097017-1183-02             TERMINAL                 CCN000054000000054000FN00000000020220301000054000NNM   20220106144725    4P0P  00002700000001139400001307432A7    ZZZZY   005100280028
BI00B32A7    ZZ22034LMW     202202237017-1183-02             TERMINAL                 CCN000027000000027000FN00000000020220301000027000NNM   20220106144725    4P0P  00002700000001139400001307432A7    ZZZZY   005100280028
BI00B32A7    ZZ22031LMW     202202027116-1685-02             TERMINAL                 CCN000120000000120000FN00000000020220301000120000NNM   20220106144725    4P0P  00002400000000897600001065232A7    ZZZZY   005100280028
BI00B32A7    ZZ22033LMW     202202097116-1685-02             TERMINAL                 CCN000024000000024000FN00000000020220301000024000NNM   20220106144725    4P0P  00002400000000897600001065232A7    ZZZZY   005100280028
BI00B32A7    ZZ22034LMW     202202237116-1685-02             TERMINAL                 CCN000048000000048000FN00000000020220301000048000NNM   20220106144725    4P0P  00002400000000897600001065232A7    ZZZZY   005100280028
BI00B32A7    ZZ22032LMW     202202097116-4020                TERMINAL                 CCN000013500000013500FN00000000020220301000013500NNM   20220106144725    4P0P  00001350000000513000000798232A7    ZZZZY   006400630015
BI00B32A7    ZZ22031LMW     202202027116-4025                TERMINAL                 CCN000032000000032000FN00000000020220301000032000NNM   20220106144725    4P0P  00001600000000644800000975132A7    ZZZZY   006400630017
BI00B32A7    ZZ22032LMW     202202097116-4025                TERMINAL                 CCN000032000000032000FN00000000020220301000032000NNM   20220106144725    4P0P  00001600000000644800000975132A7    ZZZZY   006400630017
BI00B32A7    ZZ22033LMW     202202097116-4025                TERMINAL                 CCN000048000000048000FN00000000020220301000048000NNM   20220106144725    4P0P  00001600000000644800000975132A7    ZZZZY   006400630017
BI00B32A7    ZZ22031LMW     202202027116-4026                TERMINAL                 CCN000112000000112000FN00000000020220301000112000NNM   20220106144725    4P0P  00001600000000664000000994332A7    ZZZZY   006400630017
BI00B32A7    ZZ22033LMW     202202097116-4026                TERMINAL                 CCN000048000000048000FN00000000020220301000048000NNM   20220106144725    4P0P  00001600000000664000000994332A7    ZZZZY   006400630017
BI00B32A7    ZZ22034LMW     202202237116-4026                TERMINAL                 CCN000016000000016000FN00000000020220301000016000NNM   20220106144725    4P0P  00001600000000664000000994332A7    ZZZZY   006400630017
BI00B32A7    ZZ22031LMW     202202027116-4028-08             TERMINAL FEMALE          CCN000016000000016000FN00000000020220301000016000NNM   20220106144725    4P0P  00001600000000652800000981532A7    ZZZZY   006400630017
BI00B32A7    ZZ22031LMW     202202027116-4121-02             TERMINAL                 CCN000013500000013500FN00000000020220301000013500NNM   20220106144725    4P0P  00000450000000618800000912432A7    ZZZZY   006400630015
BI00B32A7    ZZ22033LMW     202202097116-4121-02             TERMINAL                 CCN000004500000004500FN00000000020220301000004500NNM   20220106144725    4P0P  00000450000000618800000912432A7    ZZZZY   006400630015
BI00B32A7    ZZ22034LMW     202202237116-4121-02             TERMINAL                 CCN000004500000004500FN00000000020220301000004500NNM   20220106144725    4P0P  00000450000000618800000912432A7    ZZZZY   006400630015
BI00B32A7    ZZ22031LMW     202202027116-4122-02             TERMINAL                 CCN000027000000027000FN00000000020220301000027000NNM   20220106144725    4P0P  00000450000000656600000950232A7    ZZZZY   006400630015
