BI00B32AF    @TTB202D       20220218181B0911741              CAVSAS 0.3X3 GY          CCN000002750000002750FN00000000020220201000002750NNE   20220118142650    1W    00000025000002843000000000032AF    HBYHVTB 000000000000UT122001
BI00B32M4    TW2025C        202202101801W006950              IVSSH 0.35F R            CCN000007500000007500FN00000000020220201000007500NNE00 20220118104201    1W    00000250000000452000000000032M4    SISAI   000000000000GO421020
BI00B32M4    TW2025C        202202101801W006940              IVSSH 0.35F W            CCN000005000000002500FN00000000020220201000002500NNE20 20220118103926    1W    00000250000000452000000000032M4    SISAI   000000000000GO421022
BI00A32M4    TW2025C        202201241801W006970              IVSSH 0.35F Y            CCN000007500000007500FN00000000020220201000007500NNE21 20220118104353    1W    00000250000000452000000000032M4    SISAI   000000000000GO421023
BI00A32M4    TW2025C        202201241801W003960              IVSSH 0.5F G             CCN000007200000007200FN00000000020220201000007200NNE21 20220118104915    1W    00000180000000625000000000032M4    SISAI   000000000000GO421004
BI00B32M4    TW2025C        202202101801W003991              IVSSH 0.5F SB            CCN000003600000001800FN00000000020220201000001800NNE20 20220118104550    1W    00000180000000625000000000032M4    SISAI   000000000000GO421010
BI00A32M4    TW2025C        202201241801W003943              IVSSH 0.5F W/B           CCN000007200000007200FN00000000020220201000007200NNE21 20220118104857    1W    00000180000000625000000000032M4    SISAI   000000000000GO421012
BI00A32M4    TW2024B        202201241801W003970              IVSSH 0.5F Y             CCN000023400000023400FN00000000020220201000023400NNE21 20220118103716    1W    00000180000000625000000000032M4    SISAI   000000000000GB222016
BI00A32M4    TW2024B        202201241801W003990              IVSSH 0.5F L             CCN000023400000023400FN00000000020220201000023400NNE21 20220118103750    1W    00000180000000625000000000032M4    SISAI   000000000000GB222008
BI00A32M4    TW2024B        202201241801W006930              IVSSH 0.35F B            CCN000015000000015000FN00000000020220201000015000NNE21 20220118103826    1W    00000250000000452000000000032M4    SISAI   000000000000GB222023
BI00A32M4    TW2025C        202201241801W006940              IVSSH 0.35F W            CCN000002500000002500FN00000000020220201000002500NNE21 20220118103926    1W    00000250000000452000000000032M4    SISAI   000000000000GO421022
BI00A32M4    TW2025C        202201241801W006941              IVSSH 0.35F GY           CCN000002500000002500FN00000000020220201000002500NNE21 20220118104043    1W    00000250000000452000000000032M4    SISAI   000000000000GO421018
BI00A32M4    TW2024B        202201241801W006950              IVSSH 0.35F R            CCN000010000000010000FN00000000020220201000010000NNE21 20220118104321    1W    00000250000000452000000000032M4    SISAI   000000000000GB222028
BI00A32M4    TW2024B        202201241801W006990              IVSSH 0.35F L            CCN000007500000007500FN00000000020220201000007500NNE21 20220118104432    1W    00000250000000452000000000032M4    SISAI   000000000000GB222026
BI00A32M4    TW2024B        202201241801W006991              IVSSH 0.35F SB           CCN000005000000005000FN00000000020220201000005000NNE21 20220118104453    1W    00000250000000452000000000032M4    SISAI   000000000000GB222029
BI00A32M4    TW2025C        202201241801W003991              IVSSH 0.5F SB            CCN000001800000001800FN00000000020220201000001800NNE21 20220118104550    1W    00000180000000625000000000032M4    SISAI   000000000000GO421010
BI00A32M4    TW2024B        202201241801W004040              IVSSH 0.75F W            CCN000002600000002600FN00000000020220201000002600NNE21 20220118104645    1W    00000130000000882000000000032M4    SISAI   000000000000GB222022
BI00A32M4    TW2024B        202201241801W003941              IVSSH 0.5F GY            CCN000007200000007200FN00000000020220201000007200NNE21 20220118104731    1W    00000180000000625000000000032M4    SISAI   000000000000GB222007
