BI00B32AF    @TTB203D       20220318181E48013ZZ              CAVSAS-S 0.3X3 GY        CCN000007000000007000FN00000000020220301000007000NNE   20220215151110    1W    00000025000002778200000000032AF    HBYHVTB 000000000000UT123003
BI00B32W4    4500189335     2022030818007704130              AVSS 1.25F B             CCN000000800000000800FN00000000020220301000000800NNE   20220215154756W42 1W    00000080000001389000000000032W42   HJYHK-J 000000000000OY422001
BI00B32W4    4500189335     2022030818007704230              AVSS 2F B                CCN000000500000000500FN00000000020220301000000500NNE   20220215154756W42 1W    00000050000002126400000000032W42   HJYHK-J 000000000000OY422002
BI00B32W4    4500189335     2022030818018403930              CAVS 0.5 B               CCN000003000000003000FN00000000020220301000003000NNE   20220215154756W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OY422018
BI00B32W4    4500189335     2022030818018403936              CAVS 0.5 B/G             CCN000001500000001500FN00000000020220301000001500NNE   20220215154756W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OY422019
BI00B32W4    4500189335     2022030818018403939              CAVS 0.5 B/L             CCN000001500000001500FN00000000020220301000001500NNE   20220215154756W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OY422020
BI00B32W4    4500189335     2022030818018403934              CAVS 0.5 B/W             CCN000003000000003000FN00000000020220301000003000NNE   20220215154756W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OY422021
BI00B32W4    4500189335     2022030818018403980              CAVS 0.5 BR              CCN000001500000001500FN00000000020220301000001500NNE   20220215154756W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OY422022
BI00B32W4    4500189335     2022030818018403960              CAVS 0.5 G               CCN000001500000001500FN00000000020220301000001500NNE   20220215154756W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OY422023
BI00B32W4    4500189335     2022030818018403965              CAVS 0.5 G/R             CCN000001500000001500FN00000000020220301000001500NNE   20220215154756W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OY422024
BI00B32W4    4500189335     2022030818018403990              CAVS 0.5 L               CCN000001500000001500FN00000000020220301000001500NNE   20220215154756W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OY422025
BI00B32W4    4500189335     2022030818018403995              CAVS 0.5 L/R             CCN000001500000001500FN00000000020220301000001500NNE   20220215154756W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OY422026
