BI00B1200    #2399T52509    202206027174-1270-30             SEALED COVER             CCN000001600000001600FN00000000020220701000001600NNM   20220427152735    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T52510    202206097174-1270-30             SEALED COVER             CCN000001600000001600FN00000000020220701000001600NNM   20220427152735    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T52511    202206167174-1270-30             SEALED COVER             CCN000001600000001600FN00000000020220701000001600NNM   20220427152735    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T52509    202206027174-1271-30             SEALED COVER             CCN000001920000001920FN00000000020220701000001920NNM   20220427152735    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T52510    202206097174-1271-30             SEALED COVER             CCN000001920000001920FN00000000020220701000001920NNM   20220427152735    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T52511    202206167174-1271-30             SEALED COVER             CCN000001920000001920FN00000000020220701000001920NNM   20220427152735    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    2399T52512     202206237116-4100-02             TERMINAL                 CCN000105000000105000FN00000000020220701000105000NNM   20220427152828    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52513     202206307116-4100-02             TERMINAL                 CCN000090000000090000FN00000000020220701000090000NNM   20220427152828    4P0P  0000150000000069600000099021200    YCYC    006400630015
BI00B1200    2399T52512     202206237116-4111-02             TERMINAL                 CCN000030000000030000FN00000000020220701000030000NNM   20220427152828    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52513     202206307116-4111-02             TERMINAL                 CCN000022500000022500FN00000000020220701000022500NNM   20220427152828    4P0P  0000075000000052950000081771200    YCYC    006400630015
BI00B1200    2399T52512     202206237116-4112-02             TERMINAL                 CCN000048000000048000FN00000000020220701000048000NNM   20220427152828    4P0P  0000060000000045000000073821200    YCYC    006400630015
BI00B1200    2399T52513     202206307116-4112-02             TERMINAL                 CCN000048000000048000FN00000000020220701000048000NNM   20220427152828    4P0P  0000060000000045000000073821200    YCYC    006400630015
BI00B1200    2399T52512     202206237137-3047-30             UNIT PACKING             CCN000003000000003000FN00000000020220701000003000NNM   20220427152828    1C0C  0000010000000017050000021891200    YCYC    002700430014
BI00B1200    2399T52513     202206307137-3047-30             UNIT PACKING             CCN000002000000002000FN00000000020220701000002000NNM   20220427152828    1C0C  0000010000000017050000021891200    YCYC    002700430014
