BI00B32P8    TAPAW-2022     20220112180077039A8              AVSS 0.5F B/P            CCN000013500000013500FN00000000020210201000013500NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C069
BI00B32P8    TAPAW-2022     2022011218007703935              AVSS 0.5F B/R            CCN000004500000004500FN00000000020210201000004500NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C070
BI00B32P8    TAPAW-2022     2022011218007703934              AVSS 0.5F B/W            CCN000006000000006000FN00000000020210201000006000NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C071
BI00B32P8    TAPAW-2022     2022011218007703937              AVSS 0.5F B/Y            CCN000004500000004500FN00000000020210201000004500NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C072
BI00B32P8    TAPAW-2022     2022011218007703980              AVSS 0.5F BR             CCN000001500000001500FN00000000020210201000001500NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C073
BI00B32P8    TAPAW-2022     2022011218007703965              AVSS 0.5F G/R            CCN000003000000003000FN00000000020210201000003000NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C074
BI00B32P8    TAPAW-2022     2022011218007703964              AVSS 0.5F G/W            CCN000006000000006000FN00000000020210201000006000NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C075
BI00B32P8    TAPAW-2022     2022011218007703941              AVSS 0.5F GY             CCN000003000000003000FN00000000020210201000003000NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C076
BI00B32P8    TAPAW-2022     20220112180077039F0              AVSS 0.5F GY/B           CCN000001500000001500FN00000000020210201000001500NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C077
BI00B32P8    TAPAW-2022     20220112180077039H1              AVSS 0.5F GY/G           CCN000001500000001500FN00000000020210201000001500NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C078
BI00B32P8    TAPAW-2022     2022011218007703911              AVSS 0.5F GY/L           CCN000001500000001500FN00000000020210201000001500NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C079
BI00B32P8    TAPAW-2022     2022011218007703990              AVSS 0.5F L              CCN000018000000018000FN00000000020210201000018000NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C080
BI00B32P8    TAPAW-2022     2022011218007703995              AVSS 0.5F L/R            CCN000001500000001500FN00000000020210201000001500NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C081
BI00B32P8    TAPAW-2022     2022011218007703997              AVSS 0.5F L/Y            CCN000001500000001500FN00000000020210201000001500NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C082
BI00B32P8    TAPAW-2022     2022011218007703907              AVSS 0.5F P/B            CCN000001500000001500FN00000000020210201000001500NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C083
BI00B32P8    TAPAW-2022     2022011218007703953              AVSS 0.5F R/B            CCN000001500000001500FN00000000020210201000001500NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C084
BI00B32P8    TAPAW-2022     2022011218007703957              AVSS 0.5F R/Y            CCN000004500000004500FN00000000020210201000004500NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C085
BI00B32P8    TAPAW-2022     2022011218007703992              AVSS 0.5F V              CCN000003000000003000FN00000000020210201000003000NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C086
BI00B32P8    TAPAW-2022     2022011218007703940              AVSS 0.5F W              CCN000010500000010500FN00000000020210201000010500NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C087
BI00B32P8    TAPAW-2022     2022011218007703943              AVSS 0.5F W/B            CCN000004500000004500FN00000000020210201000004500NNM   20211216181005    1W    00000150000000674000000000032P8    YIYTM   000000000000YM41C088
