BI00B32D2    DGTW2218       2022031018000004543              AV 8 W/B                 CCN000004400000004400FN00000000020220501000004400NNM   20220208105727    1W    00000010000010466200000000032D2    TGYOT-G 000000000000KR422051
BI00B32D2    DGTW2218       2022031018000004590              AV 8 L                   CCN000007200000007200FN00000000020220501000007200NNM   20220208105727    1W    00000010000010466200000000032D2    TGYOT-G 000000000000KR422049
BI00B32D2    @DGTW2218      20220310181AD2002ZZ              CIVUSAS-S 0.35X2 B       CCN000020700000020700FN00000000020220501000020700NNM   20220208105725    1W    00000045000001713700000000032D2    TGYOT-G 000000000000KR422023
BI00B32D2    @DGTW2218      20220310181AD2003ZZ              CIVUSAS-S 0.35X3 B       CCN000008750000008750FN00000000020220501000008750NNM   20220208105725    1W    00000035000002172100000000032D2    TGYOT-G 000000000000KR422024
BI00B32D2    @DGTW2218      20220310181AD2004ZZ              CIVUSAS-S 0.35X4 B       CCN000012000000012000FN00000000020220501000012000NNM   20220208105725    1W    00000030000002799900000000032D2    TGYOT-G 000000000000KR422025
BI00B32D2    @DGTW2218      20220310181E48037ZZ              CAVSAS-S 0.3X4 GY        CCN000004000000004000FN00000000020220501000004000NNM   20220208105725    1W    00000025000003262000000000032D2    TGYOT-G 000000000000KR422026
BI00B32D2    @DGTW2218      20220310181E50004ZZ              AVSSCS-S 0.5FX1 DGY      CCN000012000000012000FN00000000020220501000012000NNM   20220208105725    1W    00000040000001909700000000032D2    TGYOT-G 000000000000KR422027
BI00B32D2    @DGTW2218      20220310181E50005ZZ              AVSSCS-S 0.5FX1 DGY/W    CCN000007200000007200FN00000000020220501000007200NNM   20220208105725    1W    00000040000001909700000000032D2    TGYOT-G 000000000000KR422029
BI00B32D2    @DGTW2218      20220310181E50007ZZ              AVSSCS-S 0.5FX1 DGY/L    CCN000002800000002800FN00000000020220501000002800NNM   20220208105725    1W    00000040000001909700000000032D2    TGYOT-G 000000000000KR422028
BI00B32D2    @DGTW2218      20220310181E50016ZZ              AVSSCS-S 0.5FX2 DGY/R    CCN000002700000002700FN00000000020220501000002700NNM   20220208105725    1W    00000030000003096000000000032D2    TGYOT-G 000000000000KR422030
BI00B32D2    @DGTW2218      20220310181E50036ZZ              AVSSCS-S 0.3FX2 DGY      CCN000001750000001750FN00000000020220501000001750NNM   20220208105725    1W    00000035000002165000000000032D2    TGYOT-G 000000000000KR422031
BI00B32D2    @DGTW2218      20220310181F21014ZZ              AVSSHCS-S 0.5FX2 B/L     CCN000005100000005100FN00000000020220501000005100NNM   20220208105725    1W    00000030000002531400000000032D2    TGYOT-G 000000000000KR422033
BI00B32D2    @DGTW2218      20220310181F21016ZZ              AVSSHCS-S 0.5FX2 B/BR    CCN000002400000002400FN00000000020220501000002400NNM   20220208105725    1W    00000030000002531400000000032D2    TGYOT-G 000000000000KR422032
BI00B32D2    @DGTW2218      20220310181F21031ZZ              AVSSHCS-S 1.25FX2 B/P    CCN000002800000002800FN00000000020220501000002800NNM   20220208105725    1W    00000020000004267300000000032D2    TGYOT-G 000000000000KR422034
BI00B32M1    TV2042         2022031718000004530              AV 8 B                   CCN000005600000005600FN00000000020220401000005600NNM   20220208142108    1W    00000010000010466200000000032M1    VNYEV   000000000000VE123051
BI00B32M1    TV2043         2022032418000004530              AV 8 B                   CCN000014900000014900FN00000000020220401000014900NNM   20220208142108    1W    00000010000010466200000000032M1    VNYEV   000000000000VE223066
BI00B32M1    TV2044         2022033118000004530              AV 8 B                   CCN000014100000014100FN00000000020220401000014100NNM   20220208142108    1W    00000010000010466200000000032M1    VNYEV   000000000000VE323044
BI00B32M1    TV2043         2022032418000004540              AV 8 W                   CCN000005000000005000FN00000000020220401000005000NNM   20220208142108    1W    00000010000010466200000000032M1    VNYEV   000000000000VE223067
BI00B32M1    TV2044         2022033118000004540              AV 8 W                   CCN000014000000014000FN00000000020220401000014000NNM   20220208142108    1W    00000010000010466200000000032M1    VNYEV   000000000000VE323045
BI00B32M1    TV2043         2022032418000004543              AV 8 W/B                 CCN000012300000012300FN00000000020220401000012300NNM   20220208142108    1W    00000010000010466200000000032M1    VNYEV   000000000000VE223068
BI00B32M1    TV2044         2022033118000004543              AV 8 W/B                 CCN000012300000012300FN00000000020220401000012300NNM   20220208142108    1W    00000010000010466200000000032M1    VNYEV   000000000000VE323046
BI00B32M1    TV2041         2022031018009604249              AVS 2 W/L                CCN000000500000000500FN00000000020220401000000500NNM   20220208142108    1W    00000050000002456500000000032M1    VNYEV   000000000000VE422045
