BI00B32AF    @TTB204B       20220408181B0911741              CAVSAS 0.3X3 GY          CCN000018500000018500FN00000000020220401000018500NNE20 20220321162132    1W    00000025000002843000000000032AF    HBYHVTB 000000000000UT124001
BI00B32M8    PM2204DTMW     202204061801W003980              IVSSH 0.5F BR            CCN000005400000005400FN00000000020220401000005400NNE   20220321133648    1W    00000180000000625000000000032M8    PMPEMI  000000000000IG423003
BI00B32M8    PM2204DTMW     202204061801W003990              IVSSH 0.5F L             CCN000012600000012600FN00000000020220401000012600NNE   20220321133648    1W    00000180000000625000000000032M8    PMPEMI  000000000000IG423004
BI00B32M8    PM2204DTMW     202204061801W003991              IVSSH 0.5F SB            CCN000014400000014400FN00000000020220401000014400NNE   20220321133648    1W    00000180000000625000000000032M8    PMPEMI  000000000000IG423005
BI00B32M8    PM2204DTMW     202204061801W003992              IVSSH 0.5F V             CCN000001800000001800FN00000000020220401000001800NNE   20220321133648    1W    00000180000000625000000000032M8    PMPEMI  000000000000IG423006
BI00B32M8    PM2204DTMW     202204061801W004030              IVSSH 0.75F B            CCN000003900000003900FN00000000020220401000003900NNE   20220321133648    1W    00000130000000882000000000032M8    PMPEMI  000000000000IG423009
BI00B32M8    PM2204DTMW     202204061801W004040              IVSSH 0.75F W            CCN000002600000002600FN00000000020220401000002600NNE   20220321133648    1W    00000130000000882000000000032M8    PMPEMI  000000000000IG423010
BI00B32M8    PM2204DTMW     202204061801W006930              IVSSH 0.35F B            CCN000015000000015000FN00000000020220401000015000NNE   20220321133648    1W    00000250000000452000000000032M8    PMPEMI  000000000000IG423011
BI00B32M8    PM2204DTMW     202204061801W00695U              IVSSH 0.35F BE           CCN000002500000002500FN00000000020220401000002500NNE   20220321133648    1W    00000250000000452000000000032M8    PMPEMI  000000000000IG423012
BI00B32M8    PM2204DTMW     202204061801W006950              IVSSH 0.35F R            CCN000005000000005000FN00000000020220401000005000NNE   20220321133648    1W    00000250000000452000000000032M8    PMPEMI  000000000000IG423013
BI00B32M8    PM2204DTMW     202204061801W006991              IVSSH 0.35F SB           CCN000005000000005000FN00000000020220401000005000NNE   20220321133648    1W    00000250000000452000000000032M8    PMPEMI  000000000000IG423014
