BI00B1200    2399T51815     202111257289-5979-30             HOUSING FEMALE ASS'Y     CCN000014616000008820FN00000000020211001000008820NNM00020211124150506    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00A1200    7242T51907     202112027289-3342-40             HOUSING FEMALE ASS'Y     CCN000024000000009600FN00000000020211001000009600NNE00020211124175127    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    2399T51815     202111237289-5979-30             HOUSING FEMALE ASS'Y     PCN000008820000002520FY00000252020211001000000000NNMM0020211124150506    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00A1200    2399T51815     202111267289-5979-30             HOUSING FEMALE ASS'Y     PCN000002520000002772FN00000000020211001000002772NNMM0020211124150506    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00A1200    2399T51813     202111267289-5979-30             HOUSING FEMALE ASS'Y     PCN000007560000001260FN00000000020211001000001260NNMD0220211124150620    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T51C06     202201067173-3291-40             LIF LEVER                CCN000009600000009600FN00000000020220101000009600NNM   20211124122808    1F0F  0000024000000086780000106781200    YCYC    005500360039
BI00B1200    2399T51C07     202201137173-3291-40             LIF LEVER                CCN000009600000009600FN00000000020220101000009600NNM   20211124122808    1F0F  0000024000000086780000106781200    YCYC    005500360039
BI00B1200    #2399T51C05    202112237124-1026-30             PROTECTOR                CCN000003000000003000FN00000000020220101000003000NNM   20211124122808    2F0F  0000030000000082800000098601200    YCYC    005500360039
BI00B1200    #2399T51C05    202112237154-5328-30             RELAY BLOCK              CCN000001000000001000FN00000000020220101000001000NNM   20211124122808    2F0F  0000010000000121200000136191200    YCYC    005600390040
BI00B1200    #2399T51C05    202112237154-5597-30             CASSETTE R/B             CCN000096800000096800FN00000000020220101000096800NNM   20211124122808    2F0F  0000008000000073600000095201200    YCYC    005500360039
BI00B1200    #2399T51C06    202201067154-5597-30             CASSETTE R/B             CCN000096800000096800FN00000000020220101000096800NNM   20211124122808    2F0F  0000008000000073600000095201200    YCYC    005500360039
BI00B1200    #2399T51C07    202201137154-5597-30             CASSETTE R/B             CCN000096800000096800FN00000000020220101000096800NNM   20211124122808    2F0F  0000008000000073600000095201200    YCYC    005500360039
BI00B1200    #2399T51C05    202112237154-7040                RELAY BLOCK              CCN000003000000003000FN00000000020220101000003000NNM   20211124122808    2F0F  0000030000000060300000074491200    YCYC    005500360039
BI00B1200    #2399T51C05    202112237154-8273                RELAY BLOCK              CCN000001000000001000FN00000000020220101000001000NNM   20211124122808    2F0F  0000010000000052300000067251200    YCYC    005500360039
BI00B1200    #2399T51C05    202201137173-3225-10             LIF LEVER                CCN000042400000042400FN00000000020220101000042400NNMD0420211124161314    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T51C06    202201207173-3225-10             LIF LEVER                CCN000042400000022400FN00000000020220101000022400NNMD0420211124161356    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T51C07    202202107173-3225-10             LIF LEVER                CCN000042400000042400FN00000000020220101000042400NNMD0420211124161428    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #2399T51C05    202112237174-1270-30             SEALED COVER             CCN000000800000000800FN00000000020220101000000800NNM   20211124122808    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T51C06    202201067174-1270-30             SEALED COVER             CCN000000800000000800FN00000000020220101000000800NNM   20211124122808    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T51C07    202201137174-1270-30             SEALED COVER             CCN000000800000000800FN00000000020220101000000800NNM   20211124122808    2F0F  0000008000000056070000067911200    YCYC    005500360039
BI00B1200    #2399T51C05    202112237174-1271-30             SEALED COVER             CCN000000320000000320FN00000000020220101000000320NNM   20211124122808    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T51C06    202201067174-1271-30             SEALED COVER             CCN000000320000000320FN00000000020220101000000320NNM   20211124122808    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T51C07    202201137174-1271-30             SEALED COVER             CCN000000320000000320FN00000000020220101000000320NNM   20211124122808    2F0F  0000003200000038370000050211200    YCYC    005500360039
BI00B1200    #2399T51C05    202112237174-1314-30             SEALED COVER             CCN000006400000006400FN00000000020220101000006400NNM   20211124122808    2F0F  0000008000000076930000088931200    YCYC    005500360039
