BI00A1200    2399T51729     202112297289-6547                HOUSING FEMALE ASS'Y     PCN000240000000103200FN00000000020210901000103200NNM00020211224144120    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B32AF    JTB202C        202201217287-1917-40             CONNECTOR FEMALE         CCN000004800000004800FN00000000020220201000004800NNE   20211224150418    4N0N  00000240000001060800001312532AF    HBYHVTB 005500360039
BI00B32AF    JTB202C        202201217287-3885                HYBRID FEMALE ASS'Y      CCN000004800000004800FN00000000020220201000004800NNE   20211224150418    1N0N  00000240000001029600001249632AF    HBYHVTB 005500360039
BI00B32AF    #JTB202C       202201217116-4021                TERMINAL                 CCN000027000000027000FN00000000020220201000027000NNE   20211224150416    2F0P  00001350000000534600000868832AF    HBYHVTB 006400630015
BI00B32AF    #JTB202C       202201217158-3007-10             RUBBER STOPPER           CCN000020000000020000FN00000000020220201000020000NNE   20211224150416    2H0H  00002000000000308000000362732AF    HBYHVTB 002700430014
BI00B32AF    #JTB202C       202201217183-1616-30             CONNECTOR HOUSING        CCN000004800000004800FN00000000020220201000004800NNE   20211224150416    2F0F  00000240000000557500000837132AF    HBYHVTB 005500360039
BI00B32AF    #JTB202C       202201217183-2413-30             CONNECTOR HOUSING        CCN000004800000004800FN00000000020220201000004800NNE   20211224150416    2F0F  00000480000000477600000759532AF    HBYHVTB 005500360039
BI00B32AF    JTB2031        202202117017-1180-02             TERMINAL                 CCN000072000000072000FN00000000020220301000072000NNM   20211224150720    4P0P  00007200000001065600001229032AF    HBYHVTB 005100280028
BI00B32AF    JTB2032        202202187017-1180-02             TERMINAL                 CCN000360000000360000FN00000000020220301000360000NNM   20211224150720    4P0P  00007200000001065600001229032AF    HBYHVTB 005100280028
BI00B32AF    JTB2033        202202257017-1180-02             TERMINAL                 CCN000360000000360000FN00000000020220301000360000NNM   20211224150720    4P0P  00007200000001065600001229032AF    HBYHVTB 005100280028
BI00B32AF    JTB2034        202203047017-1180-02             TERMINAL                 CCN000144000000144000FN00000000020220301000144000NNM   20211224150720    4P0P  00007200000001065600001229032AF    HBYHVTB 005100280028
BI00B32AF    JTB2034        202203047017-1181-02             TERMINAL                 CCN000063000000063000FN00000000020220301000063000NNM   20211224150720    4P0P  00006300000001089900001266832AF    HBYHVTB 005100280028
BI00B32AF    JTB2032        202202187017-1183-02             TERMINAL                 CCN000054000000054000FN00000000020220301000054000NNM   20211224150720    4P0P  00002700000001139400001307432AF    HBYHVTB 005100280028
BI00B32AF    JTB2033        202202257017-1183-02             TERMINAL                 CCN000054000000054000FN00000000020220301000054000NNM   20211224150720    4P0P  00002700000001139400001307432AF    HBYHVTB 005100280028
