BI00A32AF    @TTB108D       20211208181AD2004ZZ              CIVUSAS-S 0.35X4 B       PCN000004800000004800FN00000000020210801000004800NNE25 20211204111957    1W    00000030000002784000000000032AF    HBYHVTB 000000000000UT118018
BI00B32CH    @SJ22022DMW    20220113181B32037Z5              AVSSCS 0.3FX1 DGY/L      CCN000006000000006000FN00000000020220201000006000NNM   20211204130940    1W    00000050000001780000000000032CH    SJSAMIJF000000000000QY41C005
BI00B32CH    @SJ22023DMW    20220120181B32037Z5              AVSSCS 0.3FX1 DGY/L      CCN000006000000006000FN00000000020220201000006000NNM   20211204130940    1W    00000050000001780000000000032CH    SJSAMIJF000000000000QY121001
BI00B32CH    @SJ22024DMW    20220127181B32037Z5              AVSSCS 0.3FX1 DGY/L      CCN000006500000006500FN00000000020220201000006500NNM   20211204130940    1W    00000050000001780000000000032CH    SJSAMIJF000000000000QY221001
BI00B32CH    SJ22023HMW     2022012018007704030              AVSS 0.75F B             CCN000003000000003000FN00000000020220201000003000NNM   20211204130946    1W    00000100000000943000000000032CH    SJSAMIJF000000000000QW121001
BI00B32CH    SJ22024HMW     2022012718007704030              AVSS 0.75F B             CCN000004000000004000FN00000000020220201000004000NNM   20211204130946    1W    00000100000000943000000000032CH    SJSAMIJF000000000000QW221001
BI00B32CH    SJ22021HMW     2022010618007704130              AVSS 1.25F B             CCN000001600000001600FN00000000020220201000001600NNM   20211204130946    1W    00000080000001389000000000032CH    SJSAMIJF000000000000QW31C002
BI00B32CH    SJ22022HMW     2022011318007704130              AVSS 1.25F B             CCN000000800000000800FN00000000020220201000000800NNM   20211204130946    1W    00000080000001389000000000032CH    SJSAMIJF000000000000QW41C006
BI00B32CH    SJ22023HMW     2022012018007704130              AVSS 1.25F B             CCN000003200000003200FN00000000020220201000003200NNM   20211204130946    1W    00000080000001389000000000032CH    SJSAMIJF000000000000QW121002
BI00B32CH    SJ22024HMW     2022012718007704130              AVSS 1.25F B             CCN000001600000001600FN00000000020220201000001600NNM   20211204130946    1W    00000080000001389000000000032CH    SJSAMIJF000000000000QW221002
BI00B32CH    @SJ22021MMW    20220106181E48022ZZ              CAVSAS-S 0.5X2 GY        CCN000000900000000900FN00000000020220201000000900NNM   20211204130942    1W    00000030000002493000000000032CH    SJSAMIJF000000000000QZ31C002
BI00B32CH    @SJ22022MMW    20220113181E48022ZZ              CAVSAS-S 0.5X2 GY        CCN000001200000001200FN00000000020220201000001200NNM   20211204130942    1W    00000030000002493000000000032CH    SJSAMIJF000000000000QZ41C005
BI00B32CH    @SJ22023MMW    20220120181E48022ZZ              CAVSAS-S 0.5X2 GY        CCN000001200000001200FN00000000020220201000001200NNM   20211204130942    1W    00000030000002493000000000032CH    SJSAMIJF000000000000QZ121001
BI00B32CH    @SJ22024MMW    20220127181E48022ZZ              CAVSAS-S 0.5X2 GY        CCN000001500000001500FN00000000020220201000001500NNM   20211204130942    1W    00000030000002493000000000032CH    SJSAMIJF000000000000QZ221001
BI00B32CH    @SJ22024MMW    20220127181E48062ZZ              CAVSAS-S 0.5X2 GY/BR     CCN000000600000000600FN00000000020220201000000600NNM   20211204130942    1W    00000030000002493000000000032CH    SJSAMIJF000000000000QZ221002
BI00B32CH    @SJ22023SMW    20220120181E48011ZZ              CAVSAS-S 0.3X1 GY/W      CCN000008500000008500FN00000000020220201000008500NNM   20211204145856    1W    00000050000001701600000000032CH    SJSAMIJF000000000000QS121001
BI00B32CH    @SJ22024SMW    20220127181E48011ZZ              CAVSAS-S 0.3X1 GY/W      CCN000011500000011500FN00000000020220201000011500NNM   20211204145856    1W    00000050000001701600000000032CH    SJSAMIJF000000000000QS221001
BI00B32DG    @RH1121        20211223181E48031ZZ              CAVSAS-S 0.3X2 GY        CCN000003150000003150FN00000000020211201000003150NNM20 20211204100616    1W    00000035000001998600000000032DG    BFSAIBF 000000000000GX41A001
BI00B32DG    @RH1121        20211223181E48048ZZ              CAVSAS-S 0.3X2 GY/O      CCN000007700000007700FN00000000020211201000007700NNM20 20211204100616    1W    00000035000001998600000000032DG    BFSAIBF 000000000000GX41A002
BI00B32DG    @RH1121        20211223181E50016ZZ              AVSSCS-S 0.5FX2 DGY/R    CCN000003000000003000FN00000000020211201000003000NNM20 20211204100616    1W    00000030000002072000000000032DG    BFSAIBF 000000000000GX41A003
BI00B32DG    @RH1121        20211223181E50011ZZ              AVSSCS-S 0.5FX2 DGY/Y    CCN000006900000006900FN00000000020211201000006900NNM20 20211204100616    1W    00000030000002072000000000032DG    BFSAIBF 000000000000GX41A004
BI00B32D1    @DFTW2149A     20211106181E50002ZZ              AVSSCS-S 0.3FX2 DGY/G    CCN000003500000002800FY00000280020211101000000000NNE20 20211204105104    1W    00000035000001997000000000032D1    TOYOT-K 000000000000KM11B025
BI00B32D1    @DFTW2149A     20211106181E50021ZZ              AVSSCS-S 0.3FX2 DGY/P    CCN000003850000002800FY00000280020211101000000000NNE20 20211204105228    1W    00000035000001997000000000032D1    TOYOT-K 000000000000KM11B026
BI00B32D1    @DFTW2149A     20211215181E50002ZZ              AVSSCS-S 0.3FX2 DGY/G    CCN000000700000000700FN00000000020211101000000700NNE21 20211204105044    1W    00000035000001997000000000032D1    TOYOT-K 000000000000KM11B025
BI00B32D1    @DFTW2149A     20211215181E50021ZZ              AVSSCS-S 0.3FX2 DGY/P    CCN000001050000001050FN00000000020211101000001050NNE21 20211204105206    1W    00000035000001997000000000032D1    TOYOT-K 000000000000KM11B026
BI00B32D9    C20602         202201061801W003930              IVSSH 0.5F B             CCN000007200000007200FN00000000020220201000007200NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT31C055
BI00B32D9    C20702         202201131801W003930              IVSSH 0.5F B             CCN000007200000007200FN00000000020220201000007200NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT41C115
BI00B32D9    C20802         202201201801W003930              IVSSH 0.5F B             CCN000007200000007200FN00000000020220201000007200NNM   20211204100556    1W    00000180000000625000000000032D9    UEHESTO 000000000000HT121014
