BI00A32AF    @TTB201A       20211207181E48065ZZ              CAVSAS-S 0.5X4 GY/W      CCN000000600000000600FN00000000020220101000000600NNE21 20211203130310    1W    00000020000004425000000000032AF    HBYHVTB 000000000000UW51B003
BI00B32AF    @TTB2025       20211210181E48061ZZ              CAVSAS-S 0.5X2 W/L       CCN000000300000000300FN00000000020220201000000300NNM20 20211203114945    1W    00000030000002493000000000032AF    HBYHVTB 000000000000UZ41C085
BI00B32AF    @TTB201B       20211210181E48065ZZ              CAVSAS-S 0.5X4 GY/W      CCN000000400000000400FN00000000020220101000000400NNE20 20211203130420    1W    00000020000004425000000000032AF    HBYHVTB 000000000000UT11C002
BI00A32DJ    GHT2201-2      2021120318007704140              AVSS 1.25F W             CCN000001600000001600FN00000000020211201000001600NNM20 20211203082525    1W    00000080000001389000000000032DJ    RBYIPLRB000000000000XH41B026
BI00A32DJ    GHT2201-2      20211203180T8403952              ACCAVS 0.5 P             CCN000003000000003000FN00000000020211201000003000NNM20 20211203082525    1W    00000150000000674300000000032DJ    RBYIPLRB000000000000XH41B020
BI00A32DJ    GHT2201-2      20211203180T8403980              ACCAVS 0.5 BR            CCN000000020000001500FN00000000020211201000001500NNM20 20211203082525    1W    00000150000000674300000000032DJ    RBYIPLRB000000000000XH41B017
BI00B32D2    @DGTW2209      20220106181AD2003ZZ              CIVUSAS-S 0.35X3 B       CCN000010150000010150FN00000000020220301000010150NNE   20211203104010    1W    00000035000002209700000000032D2    TGYOT-G 000000000000KR31C013
BI00B32D2    @DGTW2209      20220106181AD2004ZZ              CIVUSAS-S 0.35X4 B       CCN000015300000015300FN00000000020220301000015300NNE   20211203104010    1W    00000030000002784000000000032D2    TGYOT-G 000000000000KR31C014
BI00B32D2    @DGTW2209      20220106181E48037ZZ              CAVSAS-S 0.3X4 GY        CCN000006500000006500FN00000000020220301000006500NNE   20211203104010    1W    00000025000003340000000000032D2    TGYOT-G 000000000000KR31C015
BI00B32D2    @DGTW2209      20220106181E50004ZZ              AVSSCS-S 0.5FX1 DGY      CCN000011200000011200FN00000000020220301000011200NNE   20211203104010    1W    00000040000001817000000000032D2    TGYOT-G 000000000000KR31C016
BI00B32D2    @DGTW2209      20220106181E50005ZZ              AVSSCS-S 0.5FX1 DGY/W    CCN000007600000007600FN00000000020220301000007600NNE   20211203104010    1W    00000040000001817000000000032D2    TGYOT-G 000000000000KR31C018
BI00B32D2    @DGTW2209      20220106181E50007ZZ              AVSSCS-S 0.5FX1 DGY/L    CCN000002800000002800FN00000000020220301000002800NNE   20211203104010    1W    00000040000001817000000000032D2    TGYOT-G 000000000000KR31C017
BI00B32D2    @DGTW2209      20220106181E50016ZZ              AVSSCS-S 0.5FX2 DGY/R    CCN000003300000003300FN00000000020220301000003300NNE   20211203104010    1W    00000030000002072000000000032D2    TGYOT-G 000000000000KR31C019
BI00B32D2    @DGTW2209      20220106181E50036ZZ              AVSSCS-S 0.3FX2 DGY      CCN000003150000003150FN00000000020220301000003150NNE   20211203104010    1W    00000035000001997000000000032D2    TGYOT-G 000000000000KR31C020
BI00B32D2    @DGTW2209      20220106181F21014ZZ              AVSSHCS-S 0.5FX2 B/L     CCN000005400000005400FN00000000020220301000005400NNE   20211203104010    1W    00000030000002505800000000032D2    TGYOT-G 000000000000KR31C022
BI00B32D2    @DGTW2209      20220106181F21016ZZ              AVSSHCS-S 0.5FX2 B/BR    CCN000002400000002400FN00000000020220301000002400NNE   20211203104010    1W    00000030000002505800000000032D2    TGYOT-G 000000000000KR31C021
