BI00B1200    2399T52319     202204287289-7212-30             HOUSING FEMALE ASS'Y     CCN000008880000000000FY00000000020220501000000000NNMQ0820220401101049    4N0N  0000002400000138840000159341200    YCYC    005500360039
BI00B32AF    JTB2064        202206037017-1180-02             TERMINAL                 CCN000216000000216000FN00000000020220601000216000NNM   20220401175146    4P0P  00007200000001065600001229032AF    HBYHVTB 005100280028
BI00B32AF    JTB2063        202205277017-1181-02             TERMINAL                 CCN000063000000063000FN00000000020220601000063000NNM   20220401175146    4P0P  00006300000001089900001266832AF    HBYHVTB 005100280028
BI00B32AF    JTB2064        202206037017-1183-02             TERMINAL                 CCN000027000000027000FN00000000020220601000027000NNM   20220401175146    4P0P  00002700000001139400001307432AF    HBYHVTB 005100280028
BI00B32AF    JTB2062        202205207114-1670-02             TERMINAL                 CCN000024000000024000FN00000000020220601000024000NNM   20220401175146    1P0P  00002400000000357600000645832AF    HBYHVTB 006400630015
BI00B32AF    JTB2064        202206037114-1670-02             TERMINAL                 CCN000024000000024000FN00000000020220601000024000NNM   20220401175146    1P0P  00002400000000357600000645832AF    HBYHVTB 006400630015
BI00B32AF    JTB2063        202205277114-4020                TERMINAL                 CCN000042000000042000FN00000000020220601000042000NNM   20220401175146    4P0P  00002100000000875700001169332AF    HBYHVTB 006400630015
BI00B32AF    JTB2064        202206037114-4020                TERMINAL                 CCN000105000000105000FN00000000020220601000105000NNM   20220401175146    4P0P  00002100000000875700001169332AF    HBYHVTB 006400630015
BI00B32AF    JTB2063        202205277114-4021                TERMINAL                 CCN000015000000015000FN00000000020220601000015000NNM   20220401175146    4P0P  00001500000000670500000964132AF    HBYHVTB 006400630015
BI00B32AF    JTB2064        202206037114-4021                TERMINAL                 CCN000045000000045000FN00000000020220601000045000NNM   20220401175146    4P0P  00001500000000670500000964132AF    HBYHVTB 006400630015
BI00B32AF    JTB2064        202206037114-4031                TERMINAL                 CCN000031500000031500FN00000000020220601000031500NNM   20220401175146    4P0P  00001050000000966000001294632AF    HBYHVTB 006400630017
BI00B32AF    JTB2062        202205207114-4032                TERMINAL                 CCN000007500000007500FN00000000020220601000007500NNM   20220401175146    4P0P  00000750000000735000001063632AF    HBYHVTB 006400630017
BI00B32AF    JTB2063        202205277114-4032                TERMINAL                 CCN000067500000067500FN00000000020220601000067500NNM   20220401175146    4P0P  00000750000000735000001063632AF    HBYHVTB 006400630017
