BI00B32J1    @390633        20220214181E48013ZZ              CAVSAS-S 0.3X3 GY        CCN000000500000000000FY00000000020220201000000000NNE10 20220131093800    1W    00000025000002778200000000032J1    UKYEL-BL000000000000KG122009
BI00B32J1    @390633        20220214181E48015ZZ              CAVSAS-S 0.5X1 GY        CCN000001600000000000FY00000000020220201000000000NNE10 20220131093800    1W    00000040000001900600000000032J1    UKYEL-BL000000000000KG122006
BI00B32W9    4500188305     2022030118007704259              AVSS 2F R/L              CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000050000002126400000000032W93   HKYHK   000000000000ZK322011
BI00B32W9    4500188305     2022030118007704256              AVSS 2F R/G              CCN000000500000000500FN00000000020220301000000500NNE   20220131151444W93 1W    00000050000002126400000000032W93   HKYHK   000000000000ZK322010
BI00B32W9    4500188305     2022030118007704276              AVSS 2F Y/G              CCN000000500000000500FN00000000020220301000000500NNE   20220131151444W93 1W    00000050000002126400000000032W93   HKYHK   000000000000ZK322013
BI00B32W9    4500188305     2022030118007704170              AVSS 1.25F Y             CCN000000800000000800FN00000000020220301000000800NNE   20220131151444W93 1W    00000080000001389000000000032W93   HKYHK   000000000000ZK322007
BI00B32W9    4500188305     2022030118007704235              AVSS 2F B/R              CCN000000500000000500FN00000000020220301000000500NNE   20220131151444W93 1W    00000050000002126400000000032W93   HKYHK   000000000000ZK322009
BI00B32W9    4500188305     20220301180D0203930              AVSSH 0.5F B             CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000689000000000032W93   HKYHK   000000000000ZK322001
BI00B32W9    4500188305     20220301180D0203940              AVSSH 0.5F W             CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000689000000000032W93   HKYHK   000000000000ZK322002
BI00B32W9    4500188305     2022030118018403943              CAVS 0.5 W/B             CCN000003000000003000FN00000000020220301000003000NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322077
BI00B32W9    4500188305     2022030118018403980              CAVS 0.5 BR              CCN000007500000007500FN00000000020220301000007500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322049
BI00B32W9    4500188305     2022030118018403995              CAVS 0.5 L/R             CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322060
BI00B32W9    4500188305     2022030118018403940              CAVS 0.5 W               CCN000004500000004500FN00000000020220301000004500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322076
BI00B32W9    4500188305     2022030118018403952              CAVS 0.5 P               CCN000004500000004500FN00000000020220301000004500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322065
BI00B32W9    4500188305     2022030118018403937              CAVS 0.5 B/Y             CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322048
BI00B32W9    4500188305     2022030118018403991              CAVS 0.5 SB              CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322073
BI00B32W9    4500188305     2022030118018403951              CAVS 0.5 O               CCN000003000000003000FN00000000020220301000003000NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322063
BI00B32W9    4500188305     2022030118018403964              CAVS 0.5 G/W             CCN000003000000003000FN00000000020220301000003000NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322055
BI00B32W9    4500188305     2022030118018403997              CAVS 0.5 L/Y             CCN000003000000003000FN00000000020220301000003000NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322061
BI00B32W9    4500188305     2022030118018403907              CAVS 0.5 P/B             CCN000001500000001500FN00000000020220301000001500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322066
BI00B32W9    4500188305     2022030118018403960              CAVS 0.5 G               CCN000006000000006000FN00000000020220301000006000NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322052
BI00B32W9    4500188305     2022030118018403953              CAVS 0.5 R/B             CCN000006000000006000FN00000000020220301000006000NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322068
BI00B32W9    4500188305     2022030118018403956              CAVS 0.5 R/G             CCN000007500000007500FN00000000020220301000007500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322069
BI00B32W9    4500188305     2022030118018403959              CAVS 0.5 R/L             CCN000003000000003000FN00000000020220301000003000NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322070
BI00B32W9    4500188305     2022030118018404170              CAVS 1.25 Y              CCN000001600000001600FN00000000020220301000001600NNE   20220131151444W93 1W    00000080000001378000000000032W93   HKYHK   000000000000ZK322116
BI00B32W9    4500188305     2022030118018404150              CAVS 1.25 R              CCN000000800000000800FN00000000020220301000000800NNE   20220131151444W93 1W    00000080000001378000000000032W93   HKYHK   000000000000ZK322112
BI00B32W9    4500188305     2022030118018404030              CAVS 0.85 B              CCN000009000000009000FN00000000020220301000009000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322084
BI00B32W9    4500188305     2022030118018403990              CAVS 0.5 L               CCN000007500000007500FN00000000020220301000007500NNE   20220131151444W93 1W    00000150000000677000000000032W93   HKYHK   000000000000ZK322057
BI00B32W9    4500188305     2022030118018404056              CAVS 0.85 R/G            CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322098
BI00B32W9    4500188305     2022030118018403730              CAVS 0.3 B               CCN000020000000020000FN00000000020220301000020000NNE   20220131151444W93 1W    00000200000000471000000000032W93   HKYHK   000000000000ZK322035
BI00B32W9    4500188305     2022030118018403734              CAVS 0.3 B/W             CCN000002000000002000FN00000000020220301000002000NNE   20220131151444W93 1W    00000200000000471000000000032W93   HKYHK   000000000000ZK322036
BI00B32W9    4500188305     2022030118018403790              CAVS 0.3 L               CCN000002000000002000FN00000000020220301000002000NNE   20220131151444W93 1W    00000200000000471000000000032W93   HKYHK   000000000000ZK322037
